District Code,District,School,School Code,School Type,Title I Status,Level,Latitude,Longitude
71,Bullitt County,Old Mill Elementary School,71078,A1,Not a Title 1 School,ES,38.057538,-85.530902
71,Bullitt County,Overdale Elementary School,71080,A1,Title 1 Eligible - Schoolwide School,ES,38.0809,-85.677184
71,Bullitt County,Roby Elementary School,71090,A1,Title 1 Eligible - Schoolwide School,ES,37.997888,-85.702117
71,Bullitt County,Riverview Opportunity Center,71110,A5,Not a Title 1 School,HS,38.001554,-85.699773
71,Bullitt County,Bullitt Alternative Center,71120,A6,Not a Title 1 School,HS,38.001155,-85.699072
72,Burgin Independent,Burgin High School,72010,,,MS,,
72,Burgin Independent,Burgin High School,72010,,,HS,,
72,Burgin Independent,Burgin Elementary School,72020,,,ES,,
72,Burgin Independent,Burgin Independent School,72030,A1,Title I Eligible - Schoolwide School,ES,37.752505,-84.762557
72,Burgin Independent,Burgin Independent School,72030,A1,Title 1 Eligible - Schoolwide School,HS,37.752505,-84.762557
72,Burgin Independent,Burgin Independent School,72030,A1,Title I Eligible - Schoolwide School,MS,37.752505,-84.762557
75,Butler County,Butler County High School,75030,A1,Not a Title 1 School,HS,37.204984,-86.700604
75,Butler County,North Butler Elementary,75031,A1,Title 1 Eligible - Schoolwide School,ES,37.26472187,-86.60311175
75,Butler County,Butler County Learning Center,75032,A5,Not a Title 1 School,HS,37.21516,-86.705395
75,Butler County,Butler County Middle School,75035,A1,Title 1 Eligible - Schoolwide School,MS,37.231334,-86.682308
75,Butler County,Green River School,75110,A6,Not a Title 1 School,HS,37.290377,-86.735881
75,Butler County,Morgantown Elementary School,75120,A1,Title 1 Eligible - Schoolwide School,ES,37.230814,-86.680754
81,Caldwell County,Caldwell County High School,81010,A1,Title 1 Eligible - No Program,HS,37.1373,-87.896098
81,Caldwell County,Caldwell County Middle School,81020,A1,Title 1 Eligible - Schoolwide School,MS,37.138189,-87.893262
81,Caldwell County,Caldwell County Primary School,81030,A1,Title 1 Eligible - Schoolwide School,ES,37.132545,-87.896609
81,Caldwell County,Caldwell County Elementary School,81070,A1,Title 1 Eligible - Schoolwide School,ES,37.135381,-87.894983
85,Calloway County,Calloway County High School,85020,A1,Title 1 Eligible - Schoolwide School,HS,36.618058,-88.34094
85,Calloway County,East Calloway Elementary School,85025,A1,Title 1 Eligible - Schoolwide School,ES,36.623705,-88.241419
85,Calloway County,North Calloway Elementary School,85035,A1,Title 1 Eligible - Schoolwide School,ES,36.652216,-88.323346
85,Calloway County,Southwest Calloway Elementary School,85045,A1,Title 1 Eligible - Schoolwide School,ES,36.584794,-88.385095
85,Calloway County,Calloway County Middle School,85055,A1,Title 1 Eligible - Schoolwide School,MS,36.619697,-88.342223
85,Calloway County,Calloway County Day Treatment,85095,A6,Not a Title 1 School,HS,36.61604902,-88.3343055
85,Calloway County,Calloway County Alternative Program,85096,A5,Not a Title 1 School,HS,36.61604902,-88.3343055
91,Campbell County,Campbell County Middle School,91011,A1,Title 1 Eligible - No Program,MS,38.965561,-84.392099
91,Campbell County,John W. Reiley Elementary School,91012,A1,Title 1 Eligible - Schoolwide School,ES,38.9059,-84.386416
91,Campbell County,Donald E. Cline Elementary School,91013,A1,Title 1 Eligible - Schoolwide School,ES,39.019095,-84.432125
91,Campbell County,Alexandria Educational Center,91016,A6,Not a Title 1 School,HS,38.963954,-84.39012
91,Campbell County,Campbell Ridge Elementary,91019,A1,Title 1 Eligible - Schoolwide School,ES,38.954688,-84.341526
91,Campbell County,Crossroads Elementary School,91035,A1,Title 1 Eligible - Schoolwide School,ES,39.003706,-84.415391
91,Campbell County,Grant's Lick Elementary School,91050,A1,Title 1 Eligible - No Program,ES,38.859636,-84.397811
91,Campbell County,Campbell County High School,91100,A1,Title 1 Eligible - No Program,HS,38.919522,-84.393884
92,Campbellsville Independent,Campbellsville Elementary School,92010,A1,Title 1 Eligible - Schoolwide School,ES,37.34897117,-85.33037753
92,Campbellsville Independent,Campbellsville Eagle Academy,92011,A5,Not a Title 1 School,HS,37.338455,-85.34792
92,Campbellsville Independent,Campbellsville High School,92020,A1,Title 1 Eligible - Schoolwide School,HS,37.338788,-85.348535
92,Campbellsville Independent,Campbellsville Middle School,92025,A1,Title I Eligible - Schoolwide School,ES,37.338598467,-85.349222266
92,Campbellsville Independent,Campbellsville Middle School,92025,A1,Title 1 Eligible - Schoolwide School,MS,37.33859847,-85.34922227
