SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,SCH_TYPE,STATE_SCH_ID,NCESID,CATEGORY,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,AMO_GOAL,AMO_MET,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,COOP,COOP_CODE
20132014,007,BELL,031,Bell County,250,Lone Jack School Center,031250,A1,007031250,210039000068,Accountability,Middle School,57.1,27,Needs Improvement/Progressing,Focus School/High Progress School,43.6,44.6,Yes,YES,Yes,N/A,2,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,250,Lone Jack School Center,031250,A1,007031250,210039000068,Accountability,Elementary School,54.2,14,Needs Improvement,,54.7,55.7,No,YES,Yes,N/A,15,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,013,Page School Center,031013,A1,007031013,210039001882,Accountability,Elementary School,59.0,27,Needs Improvement,,60.9,61.9,No,YES,Yes,N/A,34,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,013,Page School Center,031013,A1,007031013,210039001882,Accountability,Middle School,67.3,71,Proficient/Progressing,,64.1,65.1,Yes,YES,Yes,N/A,58,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,345,Right Fork School Center,031345,A1,007031345,210039000072,Accountability,Middle School,63.8,56,Needs Improvement,,69.8,70.3,No,YES,Yes,N/A,83,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,345,Right Fork School Center,031345,A1,007031345,210039000072,Accountability,Elementary School,57.7,23,Needs Improvement,,59.5,60.5,No,YES,Yes,N/A,29,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,A1,007031390,210039000074,Accountability,Elementary School,64.1,47,Needs Improvement/Progressing,,60.8,61.8,Yes,YES,Yes,N/A,34,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,A1,007031390,210039000074,Accountability,Middle School,64.0,58,Needs Improvement,,65.3,66.3,No,YES,Yes,N/A,63,N/A,N/A,SESC,907
20132014,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,A1,019032010,210042000075,Accountability,High School,66.3,47,Needs Improvement,,57.4,58.4,Yes,YES,Yes,No,12,N/A,N/A,NKCES,905
20132014,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,A1,019032010,210042000075,Accountability,Middle School,57.3,28,Needs Improvement/Progressing,,54.0,55.0,Yes,YES,Yes,N/A,17,N/A,N/A,NKCES,905
20132014,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,A1,019032020,210042000076,Accountability,Elementary School,67.0,59,Needs Improvement/Progressing,,57.6,58.6,Yes,YES,Yes,N/A,23,N/A,N/A,NKCES,905
20132014,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,A1,073034010,210048000077,Accountability,Elementary School,62.1,38,Needs Improvement/Progressing,Focus School,55.5,56.5,Yes,YES,Yes,N/A,18,N/A,N/A,SESC,907
20132014,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,A1,073034020,210048000078,Accountability,High School,68.6,59,Needs Improvement,Focus School,61.3,62.3,Yes,YES,Yes,No,23,N/A,N/A,SESC,907
20132014,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,A1,073034015,210048001658,Accountability,Middle School,65.0,61,Needs Improvement/Progressing,,58.0,59.0,Yes,YES,Yes,N/A,31,N/A,N/A,SESC,907
20132014,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,A1,008035005,210051000079,Accountability,Elementary School,67.7,62,Needs Improvement,,70.7,71.2,No,YES,Yes,N/A,75,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,030,Boone County High School,035030,A1,008035030,210051000081,Accountability,High School,76.1,92,Distinguished/Progressing,High Performing School,72.8,73.3,Yes,YES,Yes,Yes,79,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,040,Burlington Elementary School,035040,A1,008035040,210051000082,Accountability,Elementary School,68.4,65,Needs Improvement/Progressing,,66.5,67.5,Yes,YES,Yes,N/A,56,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,A1,008035010,210051001971,Accountability,Middle School,69.5,82,Proficient,Focus School,70.8,71.3,No,YES,Yes,N/A,86,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,041,Charles H. Kelly Elementary School,035041,A1,008035041,210051001519,Accountability,Elementary School,80.1,98,Distinguished/Progressing,School of Distinction,79.5,80.0,Yes,YES,Yes,N/A,98,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,055,Chester Goodridge Elementary School,035055,A1,008035055,210051000086,Accountability,Elementary School,64.3,47,Needs Improvement,,69.8,70.3,No,YES,Yes,N/A,71,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,045,Conner High School,035045,A1,008035045,210051000084,Accountability,High School,75.6,90,Distinguished/Progressing,Focus School,71.8,72.3,Yes,YES,Yes,Yes,75,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,043,Conner Middle School,035043,A1,008035043,210051000083,Accountability,Middle School,70.4,85,Proficient,,70.9,71.4,No,YES,Yes,N/A,87,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,A1,008035006,210051001710,Accountability,Elementary School,75.3,91,Distinguished,,75.1,75.6,No,YES,Yes,N/A,90,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,050,Florence Elementary School,035050,A1,008035050,210051000085,Accountability,Elementary School,71.8,79,Proficient/Progressing,,67.0,68.0,Yes,YES,Yes,N/A,59,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,075,Gray Middle School,035075,A1,008035075,210051000638,Accountability,Middle School,74.0,95,Distinguished/Progressing,School of Distinction,72.5,73.0,Yes,YES,Yes,N/A,92,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,065,Hillard Collins Elementary School,035065,A1,008035065,210051001608,Accountability,Elementary School,60.4,32,Needs Improvement/Progressing,Focus School,53.5,54.5,Yes,YES,Yes,N/A,12,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,A1,008035071,210051000011,Accountability,High School,82.4,98,Distinguished,,78.0,78.5,Yes,YES,Yes,No,95,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,017,Longbranch Elementary School,035017,A1,008035017,210051002245,Accountability,Elementary School,67.0,59,Needs Improvement,,67.9,68.9,No,YES,Yes,N/A,63,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,080,New Haven Elementary School,035080,A1,008035080,210051000088,Accountability,Elementary School,68.4,65,Needs Improvement/Progressing,,66.1,67.1,Yes,YES,Yes,N/A,55,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,A1,008035008,210051001883,Accountability,Elementary School,76.1,92,Distinguished,,80.1,80.6,No,YES,Yes,N/A,98,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,081,Ockerman Elementary School,035081,A1,008035081,210051000089,Accountability,Elementary School,72.0,80,Proficient,,72.2,72.7,No,YES,Yes,N/A,81,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,085,Ockerman Middle School,035085,A1,008035085,210051000090,Accountability,Middle School,73.2,94,Distinguished/Progressing,High Performing School,66.4,67.4,Yes,YES,Yes,N/A,67,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,A1,008035015,210051002206,Accountability,High School,76.9,94,Distinguished/Progressing,High Performing School,75.9,76.4,Yes,YES,Yes,Yes,91,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,020,Rector A. Jones Middle School,035020,A1,008035020,210051000080,Accountability,Middle School,58.0,31,Needs Improvement,Focus School,59.8,60.8,No,YES,Yes,N/A,38,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,A1,008035011,210051002022,Accountability,Elementary School,77.3,94,Distinguished,,77.8,78.3,No,YES,Yes,N/A,94,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,083,Stephens Elementary School,035083,A1,008035083,210051001695,Accountability,Elementary School,69.5,70,Proficient/Progressing,,68.3,69.3,Yes,YES,Yes,N/A,64,N/A,N/A,NKCES,905
20132014,008,BOONE,035,Boone County,012,Thornwilde Elementary School,035012,A1,008035012,210051002290,Accountability,Elementary School,76.1,92,Distinguished,,78.5,79.0,No,YES,Yes,N/A,96,N/A,N/A,NKCES,905
20132014,009,BOURBON,041,Bourbon County,010,Bourbon Central Elementary School,041010,A1,009041010,210054001576,Accountability,Elementary School,69.8,71,Proficient,,71.5,72.0,No,YES,Yes,N/A,78,N/A,N/A,CKEC,901
20132014,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,A1,009041110,210054000098,Accountability,High School,72.6,78,Proficient/Progressing,Focus School,69.4,70.4,Yes,YES,Yes,Yes,65,N/A,N/A,CKEC,901
20132014,009,BOURBON,041,Bourbon County,120,Bourbon County Middle School,041120,A1,009041120,210054000099,Accountability,Middle School,66.8,70,Proficient,Focus School,67.7,68.2,No,YES,Yes,N/A,72,N/A,N/A,CKEC,901
20132014,009,BOURBON,041,Bourbon County,030,Cane Ridge Elementary School,041030,A1,009041030,210054000024,Accountability,Elementary School,69.2,69,Needs Improvement,,68.4,69.4,No,YES,Yes,N/A,65,N/A,N/A,CKEC,901
20132014,009,BOURBON,041,Bourbon County,090,North Middletown Elementary School,041090,A1,009041090,210054000096,Accountability,Elementary School,71.4,77,Proficient,,76.0,76.5,No,YES,Yes,N/A,92,N/A,N/A,CKEC,901
20132014,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,A1,114042070,210057000105,Accountability,High School,72.0,76,Proficient,Focus School,72.0,72.5,No,YES,Yes,No,76,N/A,N/A,GRREC,902
20132014,114,WARREN,042,Bowling Green Independent,065,Bowling Green Junior High,042065,A1,114042065,210057000104,Accountability,Middle School,69.0,79,Proficient/Progressing,,67.4,67.9,Yes,YES,Yes,N/A,71,N/A,N/A,GRREC,902
20132014,114,WARREN,042,Bowling Green Independent,010,Dishman McGinnis Elementary School,042010,A1,114042010,210057000100,Accountability,Elementary School,65.8,53,Needs Improvement/Progressing,,62.2,63.2,Yes,YES,Yes,N/A,38,N/A,N/A,GRREC,902
20132014,114,WARREN,042,Bowling Green Independent,057,Parker-Bennett-Curry School,042057,A1,114042057,210057000102,Accountability,Elementary School,53.9,13,Needs Improvement,Focus School,59.4,60.4,No,YES,Yes,N/A,28,N/A,N/A,GRREC,902
20132014,114,WARREN,042,Bowling Green Independent,060,Potter Gray Elementary,042060,A1,114042060,210057000103,Accountability,Elementary School,74.7,89,Proficient/Progressing,,67.3,68.3,Yes,YES,Yes,N/A,60,N/A,N/A,GRREC,902
20132014,114,WARREN,042,Bowling Green Independent,080,T C Cherry Elementary School,042080,A1,114042080,210057000106,Accountability,Elementary School,64.2,47,Needs Improvement,,64.1,65.1,No,YES,Yes,N/A,47,N/A,N/A,GRREC,902
20132014,114,WARREN,042,Bowling Green Independent,090,W R McNeill Elementary School,042090,A1,114042090,210057000107,Accountability,Elementary School,79.3,97,Distinguished/Progressing,School of Distinction,73.9,74.4,Yes,YES,Yes,N/A,87,N/A,N/A,GRREC,902
20132014,010,BOYD,045,Boyd County,010,Boyd County High School,045010,A1,010045010,210062000108,Accountability,High School,69.4,65,Needs Improvement/Progressing,,62.4,63.4,Yes,YES,Yes,Yes,26,N/A,N/A,KEDC,903
20132014,010,BOYD,045,Boyd County,035,Boyd County Middle School,045035,A1,010045035,210062000112,Accountability,Middle School,68.2,75,Proficient/Progressing,,64.5,65.5,Yes,YES,Yes,N/A,59,N/A,N/A,KEDC,903
20132014,010,BOYD,045,Boyd County,020,Cannonsburg Elementary School,045020,A1,010045020,210062000109,Accountability,Elementary School,68.3,64,Needs Improvement/Progressing,,58.7,59.7,Yes,YES,Yes,N/A,27,N/A,N/A,KEDC,903
20132014,010,BOYD,045,Boyd County,095,Catlettsburg Elementary School,045095,A1,010045095,210062000118,Accountability,Elementary School,68.2,64,Needs Improvement,,72.0,72.5,No,YES,Yes,N/A,80,N/A,N/A,KEDC,903
20132014,010,BOYD,045,Boyd County,097,Ponderosa Elementary School,045097,A1,010045097,210062000030,Accountability,Elementary School,75.2,91,Distinguished/Progressing,High Performing School,66.5,67.5,Yes,YES,Yes,N/A,56,N/A,N/A,KEDC,903
20132014,010,BOYD,045,Boyd County,080,Summit Elementary School,045080,A1,010045080,210062000117,Accountability,Elementary School,70.3,73,Proficient,,70.8,71.3,No,YES,Yes,N/A,75,N/A,N/A,KEDC,903
20132014,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,A1,011051005,210063000120,Accountability,High School,78.1,96,Distinguished/Progressing,School of Distinction,72.7,73.2,Yes,YES,Yes,Yes,78,N/A,N/A,CKEC,901
20132014,011,BOYLE,051,Boyle County,003,Boyle County Middle School,051003,A1,011051003,210063000119,Accountability,Middle School,75.7,97,Distinguished/Progressing,School of Distinction,72.1,72.6,Yes,YES,Yes,N/A,92,N/A,N/A,CKEC,901
20132014,011,BOYLE,051,Boyle County,040,Junction City Elementary School,051040,A1,011051040,210063000121,Accountability,Elementary School,75.4,91,Distinguished/Progressing,High Performing School,71.6,72.1,Yes,YES,Yes,N/A,78,N/A,N/A,CKEC,901
