SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,LEVEL,STARS,GAP_REDUCTION,FED_CLASS,PROFICIENCY_RATE,PROFICIENCY_RATING,SEPERATE_RATE,SEPERATE_RATING,GROWTH_RATE,GROWTH_RATING,ELP_GROWTH,TRANSITION_RATE,TRANSITION_RATING,TRANSITION_ELP,GRAD_RATE,GRAD_RATING,OVERALL_SCORE,REASON,GAP_DEMO,FEED_SCHOOL,PROF_WGHT,SEP_WGHT,GROWTH_WGHT,TRANS_WGHT,GRAD_WGHT
20182019,004,BALLARD,015,Ballard County,,---District Total---,015,,,WKEC,908,MS,3,N,,74.3,Medium,70.4,High,51.7,Medium,,.,,,.,,65.0,,,,27.1,19.1,18.8,.,.
20182019,004,BALLARD,015,Ballard County,,---District Total---,015,,,WKEC,908,ES,2,N,,64.5,Low,55.9,Low,54.4,Low,,.,,,.,,58.5,,Disability:Non-Disability,,23.5,15.1,19.8,.,.
20182019,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,HS,3,N,,49.1,Low,73.4,High,.,,,92.4,Very High,,98.9,Very High,69.5,,,,23.0,11.5,.,28.9,6.2
20182019,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,ES,4,N,,77.5,High,84.0,Very High,58.6,Medium,,.,,,.,,72.4,,,,28.3,22.8,21.4,.,.
20182019,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,MS,4,N,,86.0,Very High,73.6,High,62.0,Very High,,.,,,.,,73.9,,,,31.4,19.9,22.6,.,.
20182019,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,SESC,907,HS,3,N,,48.5,Low,72.8,High,.,,,92.4,Very High,,98.9,Very High,69.2,,,,22.7,11.4,.,28.9,6.2
20182019,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,SESC,907,ES,4,N,,77.5,High,84.0,Very High,58.6,Medium,,.,,,.,,72.4,,,,28.3,22.8,21.4,.,.
20182019,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,SESC,907,MS,4,N,,86.0,Very High,73.6,High,62.0,Very High,,.,,,.,,73.9,,,,31.4,19.9,22.6,.,.
20182019,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,ES,3,N,,65.2,Low,62.9,Medium,52.2,Low,65.0,.,,,.,,59.8,,Disability:Non-Disability,,23.8,17.0,19.0,.,.
20182019,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,HS,3,N,,54.6,Medium,58.6,Low,.,,,74.8,Medium,,96.1,High,64.1,,Economically Disadvantaged:Non-Economically Disadvantaged,,25.6,9.2,.,23.4,6.0
20182019,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,MS,3,N,,69.6,Low,62.1,Medium,54.0,Medium,,.,,,.,,61.9,,Disability:Non-Disability,,25.4,16.8,19.7,.,.
20182019,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,ES,3,N,,65.2,Low,62.9,Medium,52.2,Low,65.0,.,,,.,,59.8,,Disability:Non-Disability,Bardstown Elementary School,23.8,17.0,19.0,.,.
20182019,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,CKEC,901,HS,3,N,,53.5,Low,57.7,Low,.,,,72.5,Medium,,91.1,Low,62.4,,Economically Disadvantaged:Non-Economically Disadvantaged,,25.1,9.0,.,22.7,5.7
20182019,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,CKEC,901,ES,3,N,,65.2,Low,62.9,Medium,52.2,Low,65.0,.,,,.,,59.8,,Disability:Non-Disability,,23.8,17.0,19.0,.,.
20182019,090,NELSON,017,Bardstown Independent,,---District Total---,017,,,CKEC,901,MS,3,N,,69.6,Low,62.1,Medium,54.0,Medium,,.,,,.,,61.9,,Disability:Non-Disability,,25.4,16.8,19.7,.,.
20182019,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,ES,4,N,,83.4,High,76.9,High,70.4,Very High,,.,,,.,,76.9,,,,30.4,20.8,25.7,.,.
20182019,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,HS,3,N,,55.1,Medium,61.0,Medium,.,,,83.6,High,,95.1,High,67.4,,Disability:Non-Disability,,25.8,9.5,.,26.1,5.9
20182019,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,MS,3,N,,75.3,Medium,65.1,Medium,49.4,Low,,.,,,.,,63.1,,Disability:Non-Disability,,27.5,17.6,18.0,.,.
20182019,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,ES,3,N,,76.1,Medium,69.4,Medium,60.6,High,,.,,,.,,68.6,,,,27.7,18.8,22.1,.,.
20182019,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,ES,4,N,,75.8,Medium,77.0,High,63.5,High,,.,,,.,,71.6,,,,27.6,20.9,23.2,.,.
20182019,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,ES,3,N,,78.3,High,80.8,Very High,52.0,Low,,.,,,.,,69.4,,,,28.5,21.9,19.0,.,.
20182019,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,ES,3,N,,65.2,Low,55.2,Low,60.5,High,,.,,,.,,60.8,,,,23.8,15.0,22.1,.,.
20182019,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,ES,3,N,,80.2,High,77.4,High,56.1,Medium,,.,,,.,,70.7,,,,29.2,21.0,20.5,.,.
20182019,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,ES,4,N,,85.6,High,78.9,High,66.6,High,,.,,,.,,76.9,,,,31.2,21.4,24.3,.,.
20182019,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,MS,3,N,,78.1,High,65.1,Medium,53.2,Medium,,.,,,.,,65.5,,Disability:Non-Disability,,28.5,17.6,19.4,.,.
20182019,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ES,3,N,,75.4,Medium,73.2,High,58.4,Medium,95.8,.,,,.,,68.6,,,,27.5,19.8,21.3,.,.
