SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,LEVEL,FEDERAL CLASSIFICATION,READING_MATH INDICATOR RATE,READING_MATH INDICATOR RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATING,GRADUATION RATE INDICATOR,GRADUATION RATING INDICATOR,REASON FOR FEDERAL CLASSIFICATION,FEEDER SCHOOL,OVERALL INDICATOR RATE,OVERALL INDICATOR RATING,ENGLISH LEARNERS PROGRESS INDICATOR RATE,ENGLISH LEARNERS PROGRESS INDICATOR RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATE,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATING,POSTSECONDARY INDICATOR RATE,POSTSECONDARY INDICATOR RATING
20212022,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,A1,ES,"",76.3,4,71.0,4,"","","","",74.2,4,"","",79.3,4,"",""
20212022,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,A1,HS,TSI,55.1,3,47.2,3,95.3,4,Disability,"",62.7,3,"","",57.3,2,86.5,3
20212022,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,A1,ES,"",57.4,3,44.7,2,"","","","",52.8,2,"","",75.9,3,"",""
20212022,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,A1,MS,TSI,61.1,3,61.0,4,"","",Disability,"",61.3,3,"","",66.9,3,"",""
20212022,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,A1,ES,"",57.3,3,72.6,4,"","","","",64.7,3,"","",79.5,4,"",""
20212022,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,A1,ES,TSI,51.7,2,46.9,2,"","",Disability,"",50.5,2,"","",71.1,2,"",""
20212022,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,A1,ES,"",72.2,4,77.3,5,"","","","",74.6,4,"","",78.0,4,"",""
20212022,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,A1,ES,"",72.5,4,66.5,3,"","","","",70.2,4,"","",76.9,3,"",""
20212022,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,"",ES,"",59.5,3,54.7,3,"","","","",58.3,3,"","",78.7,4,"",""
20212022,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,"",HS,"",44.0,2,32.8,2,90.3,2,"","",52.7,2,"","",59.9,3,79.5,3
20212022,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,"",MS,"",48.0,2,39.3,2,"","","","",44.5,2,"","",63.3,2,"",""
20212022,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,A1,ES,"",68.5,3,60.0,3,"","","","",65.4,3,"","",79.2,4,"",""
20212022,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,A1,MS,TSI,48.0,2,39.3,2,"","",Disability,"",44.5,2,"","",63.3,2,"",""
20212022,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,A1,ES,"",51.5,2,50.1,3,"","","","",52.0,2,"","",78.3,4,"",""
20212022,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,A1,HS,"",43.9,2,33.1,2,90.9,2,"","",52.8,2,"","",59.8,3,79.5,3
20212022,059,KENTON,026,Beechwood Independent,"",---District Total---,026,"","",NKCES,905,"",ES,"",89.8,5,91.0,5,"","","","",89.7,5,"","",75.3,3,"",""
20212022,059,KENTON,026,Beechwood Independent,"",---District Total---,026,"","",NKCES,905,"",HS,"",81.9,5,70.1,5,96.8,4,"","",82.4,5,"","",69.4,5,94.1,4
20212022,059,KENTON,026,Beechwood Independent,"",---District Total---,026,"","",NKCES,905,"",MS,"",83.0,5,77.8,5,"","","","",80.1,5,"","",72.8,4,"",""
20212022,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,NKCES,905,A1,ES,"",89.3,5,91.0,5,"","","","",89.4,5,"","",74.4,3,"",""
20212022,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,A1,HS,"",81.9,5,70.1,5,97.3,4,"","",82.4,5,"","",69.4,5,94.1,4
20212022,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,A1,MS,"",80.9,5,77.8,5,"","","","",79.1,5,"","",73.2,4,"",""
20212022,007,BELL,031,Bell County,"",---District Total---,031,"","",SESC,907,"",ES,"",49.7,2,54.7,3,"","","","",53.0,3,"","",78.5,4,"",""
20212022,007,BELL,031,Bell County,"",---District Total---,031,"","",SESC,907,"",HS,"",61.4,3,63.5,5,90.6,2,"","",67.3,4,"","",63.8,3,78.1,3
20212022,007,BELL,031,Bell County,"",---District Total---,031,"","",SESC,907,"",MS,"",56.4,3,52.1,3,"","","","",55.1,3,"","",73.7,4,"",""
20212022,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,A1,ES,"",53.1,2,41.1,2,"","","","",49.0,2,"","",76.1,3,"",""
20212022,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,A1,MS,"",67.5,4,69.8,5,"","","","",68.8,4,"","",72.6,4,"",""
20212022,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,A1,ES,"",51.4,2,60.9,3,"","","","",56.7,3,"","",82.0,5,"",""
20212022,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,A1,MS,"",56.5,3,50.6,3,"","","","",54.6,3,"","",77.3,5,"",""
20212022,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,A1,HS,"",61.4,3,63.5,5,90.6,2,"","",67.3,4,"","",63.8,3,78.1,3
20212022,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,A1,ES,"",46.7,2,54.4,3,"","","","",51.3,2,"","",78.3,4,"",""
20212022,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,A1,MS,"",48.9,2,"","","","","","",50.8,2,"","",73.1,4,"",""
20212022,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,A1,ES,"",40.7,2,"","","","","","",44.0,2,"","",85.7,5,"",""
20212022,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,A1,MS,"",48.5,2,"","","","","","",50.6,2,"","",74.8,4,"",""
20212022,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,A1,ES,"",38.2,2,"","","","","","",41.3,2,"","",81.1,4,"",""
20212022,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,A1,MS,"",37.8,2,32.3,1,"","","","",36.7,1,"","",73.7,4,"",""
20212022,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,A1,ES,"",50.7,2,70.4,4,"","","","",60.1,3,"","",76.7,3,"",""
