District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
71,Bullitt County,Freedom Elementary School,71006,ES,2012,6082.0,471.0,27.0,16.0
71,Bullitt County,Zoneton Middle School,71007,MS,2012,5983.0,526.0,33.0,11.0
71,Bullitt County,Shepherdsville Elementary,71008,ES,2012,6425.0,508.0,32.0,9.0
71,Bullitt County,Eastside Middle School,71009,MS,2012,4742.0,602.0,30.0,11.0
71,Bullitt County,Brooks Elementary School,71010,ES,2012,6841.0,462.0,30.0,10.0
71,Bullitt County,Bullitt Central High School,71015,HS,2012,5287.0,1220.0,68.0,8.0
71,Bullitt County,Bullitt East High School,71016,HS,2012,4737.0,1327.0,69.0,10.0
71,Bullitt County,Bullitt Lick Middle School,71018,MS,2012,6478.0,449.0,29.0,7.0
71,Bullitt County,Cedar Grove Elementary,71020,ES,2012,6714.0,430.0,27.0,13.0
71,Bullitt County,Hebron Middle School,71025,MS,2012,6184.0,421.0,22.0,13.0
71,Bullitt County,Lebanon Junction Elementary,71030,ES,2012,6310.0,435.0,26.0,10.0
71,Bullitt County,Spring Meadows,71032,HS,2012,,18.0,,
71,Bullitt County,Maryville Elementary School,71045,ES,2012,7144.0,338.0,24.0,10.0
71,Bullitt County,MT. Washington Middle School,71050,MS,2012,5462.0,475.0,25.0,17.0
71,Bullitt County,MT. Washington Elementary,71055,ES,2012,5944.0,448.0,25.0,14.0
71,Bullitt County,Crossroads Elementary,71060,ES,2012,5687.0,530.0,31.0,7.0
71,Bullitt County,Pleasant Grove Elementary School,71065,ES,2012,5352.0,513.0,30.0,10.0
71,Bullitt County,Nichols Elementary,71070,ES,2012,8334.0,163.0,10.0,12.0
71,Bullitt County,North Bullitt High School,71075,HS,2012,5429.0,1295.0,72.0,10.0
71,Bullitt County,Old Mill Elementary School,71078,ES,2012,5884.0,432.0,24.0,12.0
71,Bullitt County,Overdale Elementary School,71080,ES,2012,6169.0,507.0,31.0,8.0
71,Bullitt County,Roby Elementary School,71090,ES,2012,6643.0,458.0,28.0,10.0
71,Bullitt County,Bullitt Alternative Center,71120,HS,2012,,50.0,,
72,Burgin Independent,Burgin High School,72010,MS,2012,6525.0,248.0,17.0,11.0
72,Burgin Independent,Burgin High School,72010,HS,2012,6525.0,248.0,17.0,11.0
72,Burgin Independent,Burgin Elementary School,72020,ES,2012,5360.0,207.0,17.0,10.0
75,Butler County,Butler County High School,75030,HS,2012,7581.0,553.0,30.0,12.0
75,Butler County,North Butler Elementary,75031,ES,2012,8076.0,321.0,22.0,13.0
75,Butler County,Butler County Learning Center,75032,HS,2012,,21.0,,
75,Butler County,Butler County Middle School,75035,MS,2012,7174.0,464.0,30.0,14.0
75,Butler County,Green River School,75110,HS,2012,,32.0,,
75,Butler County,Morgantown Elementary School,75120,ES,2012,6538.0,682.0,38.0,11.0
81,Caldwell County,Caldwell County High School,81010,HS,2012,7000.0,603.0,34.0,13.0
81,Caldwell County,Caldwell County Middle School,81020,MS,2012,6774.0,431.0,26.0,12.0
81,Caldwell County,Caldwell County Primary School,81030,ES,2012,8282.0,438.0,27.0,12.0
81,Caldwell County,Caldwell County Elementary School,81070,ES,2012,6526.0,465.0,26.0,15.0
85,Calloway County,Calloway County High School,85020,HS,2012,7523.0,954.0,58.0,13.0
