District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
115,Christian County,North Drive Middle School,115045,MS,2012,9646,359,30,8
115,Christian County,Hopkinsville High School,115050,HS,2012,6540,1102,71,9
115,Christian County,Indian Hills Elementary School,115055,ES,2012,7998,488,32,14
115,Christian County,Hopkinsville Middle School,115058,MS,2012,6531,741,42,10
115,Christian County,Bluegrass Learning Academy,115100,HS,2012,,83,,
115,Christian County,Holiday Elementary School,115105,ES,2012,7102,589,38,10
115,Christian County,Lacy Elementary School,115110,ES,2012,7927,337,22,9
115,Christian County,Millbrooke Elementary School,115125,ES,2012,6531,539,30,11
115,Christian County,Pembroke Elementary School,115130,ES,2012,6757,426,26,8
115,Christian County,Sinking Fork Elementary School,115150,ES,2012,8538,325,22,13
115,Christian County,South Christian Elementary School,115170,ES,2012,7943,593,40,10
115,Christian County,Christian County Day Treatment,115180,HS,2012,,30,,
121,Clark County,Phoenix Academy,121013,HS,2012,,19,,
121,Clark County,Central Elementary School,121020,ES,2012,7443,383,26,10
121,Clark County,George Rogers Clark High School,121030,HS,2012,6124,1635,90,9
121,Clark County,Conkwright Middle School,121035,MS,2012,6024,555,31,11
121,Clark County,Fannie Bush Elementary,121040,ES,2012,9984,255,22,13
121,Clark County,Hannah McClure Elementary,121050,ES,2012,7131,287,14,12
121,Clark County,Clark Middle School,121070,MS,2012,5600,685,39,6
121,Clark County,Pilot View Elementary School,121080,ES,2012,8452,136,9,14
121,Clark County,Providence Elementary,121090,ES,2012,6937,284,16,19
121,Clark County,Shearer Elementary School,121095,ES,2012,8805,377,28,12
121,Clark County,Trapp Elementary School,121100,ES,2012,10145,131,10,12
121,Clark County,Strode Station Elementary,121120,ES,2012,7147,636,37,13
125,Clay County,Big Creek Elementary,125040,ES,2012,,171,15,11
125,Clay County,Burning Springs Elementary,125070,ES,2012,9096,311,25,14
125,Clay County,Clay County Middle School,125095,MS,2012,9684,493,39,16
125,Clay County,Clay County High School,125100,HS,2012,8108,886,62,16
125,Clay County,Goose Rock Elementary,125200,ES,2012,9724,268,23,11
125,Clay County,Hacker Elementary School,125220,ES,2012,8732,269,21,10
125,Clay County,Manchester Elementary School,125500,ES,2012,8379,455,33,14
125,Clay County,Oneida Elementary School,125570,ES,2012,11877,127,11,8
125,Clay County,Paces Creek Elementary,125580,ES,2012,8883,312,23,13
131,Clinton County,Albany Elementary School,131015,ES,2012,7733,515,33,11
131,Clinton County,Foothills Academy,131016,HS,2012,,53,,
131,Clinton County,Clinton County Early Childhood Center,131020,ES,2012,12707,139,12,14
131,Clinton County,Clinton County Middle School,131045,MS,2012,7806,531,32,12
131,Clinton County,Clinton County High School,131050,HS,2012,8725,448,29,15
132,Cloverport Independent,Frederick Fraize High School,132010,HS,2012,6054,101,8,6
132,Cloverport Independent,William H Natcher Elementary School,132020,ES,2012,6165,172,12,7
132,Cloverport Independent,Frederick Fraize Middle School,132025,MS,2012,6177,79,5,10
133,Corbin Independent,Corbin Educational Center,133012,HS,2012,,43,,
133,Corbin Independent,Corbin Elementary,133017,ES,2012,6843,393,26,10
133,Corbin Independent,Corbin Intermediate,133018,MS,2012,5639,471,24,12
133,Corbin Independent,Corbin Intermediate,133018,ES,2012,5639,471,24,12
133,Corbin Independent,Corbin High School,133040,HS,2012,7435,743,44,10
133,Corbin Independent,Corbin Middle School,133050,MS,2012,6801,439,26,12
133,Corbin Independent,Corbin Primary,133070,ES,2012,7664,629,36,12
134,Covington Independent,Holmes Middle School,134017,MS,2012,9071,691,47,7
134,Covington Independent,Holmes High School,134019,HS,2012,13679,707,62,13
134,Covington Independent,John G Carlisle Elementary,134110,ES,2012,8080,450,30,8
134,Covington Independent,Latonia Elementary School,134115,ES,2012,6767,403,23,6
