SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20192020,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,375,606,1637,2243,9218,3929,14052,16058
20192020,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,NKCES,905,224,534,1838,2373,12554,4487,15883,16478
20192020,073,MADISON,034,Berea Independent,"",---District Total---,034,"","",SESC,907,1087,1598,629,2227,9491,2208,11700,15052
20192020,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,SESC,907,483,2262,715,2977,15572,2190,17932,22104
20192020,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,SESC,907,281,1853,790,2643,12202,2333,17597,21485
20192020,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,SESC,907,323,2154,832,2986,19525,2877,17962,22178
20192020,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,20392,288,111,399,9840,1627,11467,13939
20192020,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000079,NKCES,905,545,508,227,735,10331,1350,11680,12415
20192020,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051001710,NKCES,905,691,306,166,472,9119,1150,10269,10741
20192020,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,008035008,210051001883,NKCES,905,455,491,198,689,10805,1238,12043,12732
20192020,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051001971,NKCES,905,795,408,196,605,9416,1202,10618,11223
20192020,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,008035011,210051002022,NKCES,905,839,293,155,448,8663,1144,9807,10255
20192020,008,BOONE,035,Boone County,012,Thornwilde Elementary School,035012,008035012,210051002290,NKCES,905,663,283,176,459,8696,1078,9774,10233
20192020,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,NKCES,905,1359,276,183,459,9089,1295,10384,10843
20192020,008,BOONE,035,Boone County,017,Longbranch Elementary School,035017,008035017,210051002245,NKCES,905,865,273,166,439,8512,1046,9558,9997
20192020,008,BOONE,035,Boone County,020,Rector A. Jones Middle School,035020,008035020,210051000080,NKCES,905,773,916,404,1320,9502,1448,10951,12271
20192020,008,BOONE,035,Boone County,025,Ballyshannon Middle School,035025,008035025,210051002460,NKCES,905,651,390,207,597,8893,1231,10124,10722
20192020,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,NKCES,905,1364,287,196,482,9690,1445,11135,11618
20192020,008,BOONE,035,Boone County,040,Burlington Elementary School,035040,008035040,210051000082,NKCES,905,728,595,210,805,9612,1129,10741,11546
20192020,008,BOONE,035,Boone County,041,Charles H. Kelly Elementary School,035041,008035041,210051001519,NKCES,905,226,556,281,837,14450,1698,16148,16985
20192020,008,BOONE,035,Boone County,043,Conner Middle School,035043,008035043,210051000083,NKCES,905,930,367,173,540,9390,1221,10611,11151
20192020,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,NKCES,905,1457,259,170,429,8986,1305,10291,10720
20192020,008,BOONE,035,Boone County,050,Florence Elementary School,035050,008035050,210051000085,NKCES,905,529,818,425,1243,9599,1183,10782,12025
20192020,008,BOONE,035,Boone County,055,Chester Goodridge Elementary School,035055,008035055,210051000086,NKCES,905,668,703,400,1104,9357,1127,10483,11587
20192020,008,BOONE,035,Boone County,065,Hillard Collins Elementary School,035065,008035065,210051001608,NKCES,905,765,1011,362,1373,9216,1230,10446,11819
