SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20202021,014,BRECKINRIDGE,065,Breckinridge County,050,Irvington Elementary School,065050,014065050,210072000141,GRREC,902,A1,293,2203,782,2985,9922,1555,11477,14462
20202021,014,BRECKINRIDGE,065,Breckinridge County,100,Breckinridge County Middle School,065100,014065100,210072001304,GRREC,902,A1,592,1320,573,1893,7612,1412,9024,10917
20202021,015,BULLITT,071,Bullitt County,"",---District Total---,071,"","",OVEC,906,"",12497,471,234,704,9205,1361,10566,12801
20202021,015,BULLITT,071,Bullitt County,005,Bernheim Middle School,071005,015071005,210075000414,OVEC,906,A1,494,398,271,669,8326,1143,9469,11777
20202021,015,BULLITT,071,Bullitt County,006,Freedom Elementary School,071006,015071006,210075001958,OVEC,906,A1,462,516,195,711,9322,1260,10582,12921
20202021,015,BULLITT,071,Bullitt County,007,Zoneton Middle School,071007,015071007,210075001973,OVEC,906,A1,439,667,231,898,8633,1271,9904,12433
20202021,015,BULLITT,071,Bullitt County,008,Shepherdsville Elementary,071008,015071008,210075001974,OVEC,906,A1,517,561,412,973,9394,1247,10640,13331
20202021,015,BULLITT,071,Bullitt County,009,Eastside Middle School,071009,015071009,210075001975,OVEC,906,A1,681,370,192,562,8296,1330,9626,11722
20202021,015,BULLITT,071,Bullitt County,010,Brooks Elementary School,071010,015071010,210075000144,OVEC,906,A1,401,681,233,914,10667,1276,11943,14512
20202021,015,BULLITT,071,Bullitt County,015,Bullitt Central High School,071015,015071015,210075000145,OVEC,906,A1,1279,346,244,590,8503,1443,9947,12137
