SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,TOTEXP,Teacher Count,AVGEXPERIENCEYEARS
20182019,15,BULLITT,71,Bullitt County,18,Bullitt Lick Middle School,71018,15071018,210075001410,OVEC,906,249,34,7.3
20182019,15,BULLITT,71,Bullitt County,20,Cedar Grove Elementary,71020,15071020,210075000146,OVEC,906,296,27,11
20182019,15,BULLITT,71,Bullitt County,60,Crossroads Elementary,71060,15071060,210075002286,OVEC,906,245,25,9.8
20182019,15,BULLITT,71,Bullitt County,9,Eastside Middle School,71009,15071009,210075001975,OVEC,906,533,35,15.2
20182019,15,BULLITT,71,Bullitt County,6,Freedom Elementary School,71006,15071006,210075001958,OVEC,906,292,23,12.7
20182019,15,BULLITT,71,Bullitt County,25,Hebron Middle School,71025,15071025,210075000147,OVEC,906,315,26,12.1
20182019,15,BULLITT,71,Bullitt County,30,Lebanon Junction Elementary,71030,15071030,210075000148,OVEC,906,240,22,10.9
20182019,15,BULLITT,71,Bullitt County,55,MT. Washington Elementary,71055,15071055,210075000151,OVEC,906,367,32,11.5
20182019,15,BULLITT,71,Bullitt County,50,MT. Washington Middle School,71050,15071050,210075000150,OVEC,906,387,26,14.9
20182019,15,BULLITT,71,Bullitt County,45,Maryville Elementary School,71045,15071045,210075000149,OVEC,906,185,19,9.7
20182019,15,BULLITT,71,Bullitt County,70,Nichols Elementary,71070,15071070,210075000153,OVEC,906,97,8,12.1
20182019,15,BULLITT,71,Bullitt County,75,North Bullitt High School,71075,15071075,210075000154,OVEC,906,692,69,10
20182019,15,BULLITT,71,Bullitt County,78,Old Mill Elementary School,71078,15071078,210075001578,OVEC,906,276,24,11.5
20182019,15,BULLITT,71,Bullitt County,80,Overdale Elementary School,71080,15071080,210075000155,OVEC,906,182,21,8.7
20182019,15,BULLITT,71,Bullitt County,65,Pleasant Grove Elementary School,71065,15071065,210075001305,OVEC,906,417,29,14.4
20182019,15,BULLITT,71,Bullitt County,110,Riverview Opportunity Center,71110,15071110,210075000157,OVEC,906,64,6,10.7
20182019,15,BULLITT,71,Bullitt County,90,Roby Elementary School,71090,15071090,210075000156,OVEC,906,194,25,7.8
20182019,15,BULLITT,71,Bullitt County,8,Shepherdsville Elementary,71008,15071008,210075001974,OVEC,906,214,26,8.2
20182019,15,BULLITT,71,Bullitt County,32,Spring Meadows,71032,15071032,210075002169,OVEC,906,49,2,24.5
20182019,15,BULLITT,71,Bullitt County,7,Zoneton Middle School,71007,15071007,210075001973,OVEC,906,218,26,8.4
20182019,15,BULLITT,71,Bullitt County,,---District Total---,71,,,OVEC,906,7565,702,10.8
20182019,84,MERCER,72,Burgin Independent,30,Burgin Independent School,72030,84072030,210078002407,CKEC,901,350,35,10
20182019,84,MERCER,72,Burgin Independent,,---District Total---,72,,,CKEC,901,350,35,10
20182019,16,BUTLER,75,Butler County,30,Butler County High School,75030,16075030,210081000160,GRREC,902,490,42,11.7
20182019,16,BUTLER,75,Butler County,32,Butler County Learning Center,75032,16075032,210081001977,GRREC,902,50,3,16.7
20182019,16,BUTLER,75,Butler County,35,Butler County Middle School,75035,16075035,210081001697,GRREC,902,378,32,11.8
20182019,16,BUTLER,75,Butler County,110,Green River School,75110,16075110,210081000163,GRREC,902,69,3,23
20182019,16,BUTLER,75,Butler County,120,Morgantown Elementary School,75120,16075120,210081000164,GRREC,902,351,31,11.3
20182019,16,BUTLER,75,Butler County,31,North Butler Elementary,75031,16075031,210081001976,GRREC,902,405,29,14
20182019,16,BUTLER,75,Butler County,,---District Total---,75,,,GRREC,902,1656,133,12.5
20182019,17,CALDWELL,81,Caldwell County,70,Caldwell County Elementary School,81070,17081070,210084000170,WKEC,908,308,23,13.4
20182019,17,CALDWELL,81,Caldwell County,10,Caldwell County High School,81010,17081010,210084000166,WKEC,908,450,36,12.5
20182019,17,CALDWELL,81,Caldwell County,20,Caldwell County Middle School,81020,17081020,210084000167,WKEC,908,358,26,13.8
20182019,17,CALDWELL,81,Caldwell County,30,Caldwell County Primary School,81030,17081030,210084001660,WKEC,908,399,29,13.8
20182019,17,CALDWELL,81,Caldwell County,,---District Total---,81,,,WKEC,908,1462,111,13.2
20182019,18,CALLOWAY,85,Calloway County,96,Calloway County Alternative Program,85096,18085096,210087002370,WKEC,908,106,8,13.3
20182019,18,CALLOWAY,85,Calloway County,95,Calloway County Day Treatment,85095,18085095,210087002366,WKEC,908,47,4,11.8
