SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,PERSON_PER_STU_FED,NONPERSON_PER_STU_FED,TOTAL_PER_STU_FED,PERSON_PER_STU_STATELOCAL,NONPERSON_PER_STU_STATELOCAL,TOTAL_PER_STU_STATELOCAL,TOTAL_PER_STU_ALLFUNDS
20182019,10,BOYD,45,Boyd County,20,Cannonsburg Elementary School,10045020,210062000109,KEDC,903,841,163,1004,10960,1844,12804,13808
20182019,11,BOYLE,51,Boyle County,3,Boyle County Middle School,11051003,210063000119,CKEC,901,213,60,273,8932,1391,10323,10597
20182019,11,BOYLE,51,Boyle County,5,Boyle County High School,11051005,210063000120,CKEC,901,169,79,248,9279,1790,11070,11318
20182019,11,BOYLE,51,Boyle County,50,Woodlawn Elementary School,11051050,210063000122,CKEC,901,338,59,397,9948,1384,10978,11375
20182019,11,BOYLE,51,Boyle County,40,Junction City Elementary School,11051040,210063000121,CKEC,901,1212,59,1271,11985,1550,12956,14391
20182019,11,BOYLE,51,Boyle County,80,Perryville Elementary School,11051080,210063000124,CKEC,901,774,100,874,11951,1745,12956,13830
20182019,12,BRACKEN,55,Bracken County,50,Taylor Elementary School,12055050,210066000128,NKCES,905,561,123,684,8335,1728,10062,10746
20182019,12,BRACKEN,55,Bracken County,60,Bracken County Middle School,12055060,210066001560,NKCES,905,457,233,690,7754,2132,9886,10576
20182019,12,BRACKEN,55,Bracken County,10,Bracken County High School,12055010,210066000125,NKCES,905,445,273,717,7877,3351,11228,11945
20182019,13,BREATHITT,61,Breathitt County,30,Highland-Turner Elementary School,13061030,210069001659,KVEC,904,832,648,1480,9575,2006,11582,14163
20182019,13,BREATHITT,61,Breathitt County,150,Sebastian Elementary School,13061150,210069000132,KVEC,904,1265,563,1828,8531,2517,11048,13999
20182019,13,BREATHITT,61,Breathitt County,60,Breathitt County High School,13061060,210069000129,KVEC,904,1313,607,1920,7265,1830,9095,12099
20182019,13,BREATHITT,61,Breathitt County,185,Marie Roberts-Caney Elementary School,13061185,210069000133,KVEC,904,1099,552,1651,8273,1968,10241,13178
20182019,14,BRECKINRIDGE,65,Breckinridge County,50,Irvington Elementary School,14065050,210072000141,GRREC,902,1570,170,1739,9715,2003,11718,17667
20182019,14,BRECKINRIDGE,65,Breckinridge County,40,Custer Elementary School,14065040,210072000140,GRREC,902,926,169,1095,10610,2434,13044,18299
20182019,14,BRECKINRIDGE,65,Breckinridge County,30,Ben Johnson Elementary School,14065030,210072000139,GRREC,902,826,156,982,8599,2090,10689,15831
20182019,14,BRECKINRIDGE,65,Breckinridge County,10,Breckinridge County High School,14065010,210072000137,GRREC,902,432,301,733,8131,1883,10014,14877
20182019,14,BRECKINRIDGE,65,Breckinridge County,100,Breckinridge County Middle School,14065100,210072001304,GRREC,902,800,147,947,8148,1698,9846,14934
20182019,14,BRECKINRIDGE,65,Breckinridge County,20,Hardinsburg Elementary School,14065020,210072000138,GRREC,902,2293,163,2456,9494,1793,11286,17932
20182019,15,BULLITT,71,Bullitt County,25,Hebron Middle School,15071025,210075000147,OVEC,906,275,61,336,8224,1432,9655,12052
20182019,15,BULLITT,71,Bullitt County,30,Lebanon Junction Elementary,15071030,210075000148,OVEC,906,334,184,518,10517,1628,12145,14724
20182019,15,BULLITT,71,Bullitt County,78,Old Mill Elementary School,15071078,210075001578,OVEC,906,324,52,376,8742,1310,10052,12489
