SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20192020,016,BUTLER,075,Butler County,032,Butler County Learning Center,075032,016075032,210081001977,GRREC,902,53,3,17.7
20192020,016,BUTLER,075,Butler County,035,Butler County Middle School,075035,016075035,210081001697,GRREC,902,334,32,10.4
20192020,016,BUTLER,075,Butler County,110,Green River School,075110,016075110,210081000163,GRREC,902,29,3,9.7
20192020,016,BUTLER,075,Butler County,120,Morgantown Elementary School,075120,016075120,210081000164,GRREC,902,364,29,12.6
20192020,017,CALDWELL,081,Caldwell County,"",---District Total---,081,"","",WKEC,908,1471,110,13.4
20192020,017,CALDWELL,081,Caldwell County,010,Caldwell County High School,081010,017081010,210084000166,WKEC,908,459,34,13.5
20192020,017,CALDWELL,081,Caldwell County,020,Caldwell County Middle School,081020,017081020,210084000167,WKEC,908,350,26,13.5
20192020,017,CALDWELL,081,Caldwell County,030,Caldwell County Primary School,081030,017081030,210084001660,WKEC,908,418,30,13.9
20192020,017,CALDWELL,081,Caldwell County,070,Caldwell County Elementary School,081070,017081070,210084000170,WKEC,908,330,25,13.2
20192020,018,CALLOWAY,085,Calloway County,"",---District Total---,085,"","",WKEC,908,2446,168,14.6
20192020,018,CALLOWAY,085,Calloway County,020,Calloway County High School,085020,018085020,210087000171,WKEC,908,846,51,16.6
20192020,018,CALLOWAY,085,Calloway County,025,East Calloway Elementary School,085025,018085025,210087000172,WKEC,908,194,16,12.1
20192020,018,CALLOWAY,085,Calloway County,035,North Calloway Elementary School,085035,018085035,210087000173,WKEC,908,353,30,11.8
20192020,018,CALLOWAY,085,Calloway County,045,Southwest Calloway Elementary School,085045,018085045,210087000174,WKEC,908,378,23,16.4
20192020,018,CALLOWAY,085,Calloway County,055,Calloway County Middle School,085055,018085055,210087001411,WKEC,908,529,38,13.9
20192020,018,CALLOWAY,085,Calloway County,075,Calloway County Preschool Center,085075,018085075,210087000931,WKEC,908,115,7,16.4
20192020,018,CALLOWAY,085,Calloway County,095,Calloway County Day Treatment,085095,018085095,210087002366,WKEC,908,48,4,12
20192020,018,CALLOWAY,085,Calloway County,096,Calloway County Alternative Program,085096,018085096,210087002370,WKEC,908,107,7,15.3
20192020,019,CAMPBELL,091,Campbell County,"",---District Total---,091,"","",NKCES,905,3221,270,11.9
20192020,019,CAMPBELL,091,Campbell County,011,Campbell County Middle School,091011,019091011,210090001306,NKCES,905,630,69,9.1
20192020,019,CAMPBELL,091,Campbell County,012,John W. Reiley Elementary School,091012,019091012,210090001320,NKCES,905,273,22,12.4
