SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,MEMBERSHIP,Total Spending per Student - All Fund Sources
20212022,15,BULLITT,71,Bullitt County,65,Pleasant Grove Elementary School,71065,A1,608,15557
20212022,15,BULLITT,71,Bullitt County,70,Nichols Elementary,71070,A1,111,23473
20212022,15,BULLITT,71,Bullitt County,75,North Bullitt High School,71075,A1,1111,17069
20212022,15,BULLITT,71,Bullitt County,78,Old Mill Elementary School,71078,A1,489,16222
20212022,15,BULLITT,71,Bullitt County,80,Overdale Elementary School,71080,A1,320,18063
20212022,15,BULLITT,71,Bullitt County,90,Roby Elementary School,71090,A1,388,17912
20212022,15,BULLITT,71,Bullitt County,110,Riverview Opportunity Center,71110,A5,19,
20212022,15,BULLITT,71,Bullitt County,120,Bullitt Alternative Center,71120,A6,61,
20212022,84,MERCER,72,Burgin Independent,30,Burgin Independent School,72030,A1,480,15589
20212022,16,BUTLER,75,Butler County,30,Butler County High School,75030,A1,636,13942
20212022,16,BUTLER,75,Butler County,31,North Butler Elementary,75031,A1,352,14029
20212022,16,BUTLER,75,Butler County,32,Butler County Learning Center,75032,A5,3,
20212022,16,BUTLER,75,Butler County,35,Butler County Middle School,75035,A1,482,12916
20212022,16,BUTLER,75,Butler County,110,Green River School,75110,A6,2,
20212022,16,BUTLER,75,Butler County,120,Morgantown Elementary School,75120,A1,561,12884
20212022,17,CALDWELL,81,Caldwell County,10,Caldwell County High School,81010,A1,515,14354
20212022,17,CALDWELL,81,Caldwell County,20,Caldwell County Middle School,81020,A1,421,12519
20212022,17,CALDWELL,81,Caldwell County,30,Caldwell County Primary School,81030,A1,399,13960
20212022,17,CALDWELL,81,Caldwell County,70,Caldwell County Elementary School,81070,A1,395,15406
20212022,18,CALLOWAY,85,Calloway County,20,Calloway County High School,85020,A1,822,17660
20212022,18,CALLOWAY,85,Calloway County,25,East Calloway Elementary School,85025,A1,300,19720
20212022,18,CALLOWAY,85,Calloway County,35,North Calloway Elementary School,85035,A1,560,16522
20212022,18,CALLOWAY,85,Calloway County,45,Southwest Calloway Elementary School,85045,A1,426,17121
20212022,18,CALLOWAY,85,Calloway County,55,Calloway County Middle School,85055,A1,658,16987
20212022,18,CALLOWAY,85,Calloway County,75,Calloway County Preschool Center,85075,A4,0,
20212022,18,CALLOWAY,85,Calloway County,95,Calloway County Day Treatment,85095,A6,14,
20212022,18,CALLOWAY,85,Calloway County,96,Calloway County Alternative Program,85096,A5,93,
20212022,19,CAMPBELL,91,Campbell County,11,Campbell County Middle School,91011,A1,1192,13407
20212022,19,CAMPBELL,91,Campbell County,12,John W. Reiley Elementary School,91012,A1,473,14736
20212022,19,CAMPBELL,91,Campbell County,13,Donald E. Cline Elementary School,91013,A1,323,16133
20212022,19,CAMPBELL,91,Campbell County,16,Alexandria Educational Center,91016,A6,46,
20212022,19,CAMPBELL,91,Campbell County,19,Campbell Ridge Elementary,91019,A1,546,15415
20212022,19,CAMPBELL,91,Campbell County,35,Crossroads Elementary School,91035,A1,584,14710
20212022,19,CAMPBELL,91,Campbell County,50,Grant's Lick Elementary School,91050,A1,309,16189
20212022,19,CAMPBELL,91,Campbell County,100,Campbell County High School,91100,A1,1501,13956
20212022,109,TAYLOR,92,Campbellsville Independent,10,Campbellsville Elementary School,92010,A1,551,9699
20212022,109,TAYLOR,92,Campbellsville Independent,11,Campbellsville Eagle Academy,92011,A5,11,
20212022,109,TAYLOR,92,Campbellsville Independent,20,Campbellsville High School,92020,A1,294,12663
20212022,109,TAYLOR,92,Campbellsville Independent,25,Campbellsville Middle School,92025,A1,311,12417
20212022,20,CARLISLE,95,Carlisle County,20,Carlisle County Middle School,95020,A1,160,15457
20212022,20,CARLISLE,95,Carlisle County,40,Carlisle County High School,95040,A1,196,16448
20212022,20,CARLISLE,95,Carlisle County,60,Carlisle County Elementary School,95060,A1,326,16977
20212022,21,CARROLL,101,Carroll County,5,Cartmell Elementary,101005,A1,415,14007
20212022,21,CARROLL,101,Carroll County,7,Carroll Co Childhood Development Center,101007,A4,0,
20212022,21,CARROLL,101,Carroll County,10,Kathryn Winn Primary,101010,A1,306,14831
20212022,21,CARROLL,101,Carroll County,18,Carroll County High School,101018,A1,539,14109
20212022,21,CARROLL,101,Carroll County,19,Carroll County Middle School,101019,A1,624,12815
20212022,22,CARTER,105,Carter County,40,Carter Virtual Academy,105040,A5,66,
20212022,22,CARTER,105,Carter County,52,Heritage Elementary School,105052,A1,289,13298
20212022,22,CARTER,105,Carter County,53,Tygart Creek Elementary School,105053,A1,302,13393
20212022,22,CARTER,105,Carter County,60,Carter City Elementary School,105060,A1,128,13759
20212022,22,CARTER,105,Carter County,120,East Carter County High School,105120,A1,673,12898
20212022,22,CARTER,105,Carter County,130,East Carter Middle School,105130,A1,516,12087
20212022,22,CARTER,105,Carter County,250,Olive Hill Elementary School,105250,A1,359,14192
20212022,22,CARTER,105,Carter County,340,Prichard Elementary School,105340,A1,546,12519
20212022,22,CARTER,105,Carter County,450,Star Elementary School,105450,A1,108,15255
20212022,22,CARTER,105,Carter County,500,West Carter County High School,105500,A1,492,14630
20212022,22,CARTER,105,Carter County,505,West Carter Middle School,105505,A1,399,13118
20212022,22,CARTER,105,Carter County,905,Carter County Career and Technical Center,105905,A2,0,
