Fiscal Year,001 Adair County,Rank,Years,,I,II,III
2023 - 2024,537 Southgate Independent,III,15,,"51,654.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,16,,"51,958.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,17,,"52,264.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,18,,"52,581.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,19,,"52,881.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,20,,"53,399.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,21,,"53,713.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,22,,"54,031.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,23,,"54,348.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,24,,"54,668.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,25,,"55,205.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,26,,"55,530.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,27,,"55,858.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,28,,"56,186.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,29,,"56,518.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,30,,"56,851.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,31,,"57,409.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,32,,"57,973.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,33,,"58,543.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,34,,"59,118.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,35,,"59,699.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,36,,"60,286.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,37,,"60,879.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,38,,"61,478.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,39,,"62,083.00",0.00,0.00
2023 - 2024,537 Southgate Independent,III,40,,"62,693.00",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,0,,"39,608.65",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,1,,"40,017.56",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,2,,"40,433.68",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,3,,"40,859.07",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,4,,"41,292.70",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,5,,"41,734.57",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,6,,"42,185.71",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,7,,"42,645.09",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,8,,"43,114.77",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,9,,"43,592.69",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,10,,"44,157.13",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,11,,"44,307.51",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,12,,"44,457.89",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,13,,"44,609.30",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,14,,"44,761.74",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,15,,"45,273.65",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,16,,"45,430.21",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,17,,"45,587.80",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,18,,"45,745.39",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,19,,"45,905.04",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,20,,"46,171.81",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,21,,"46,333.52",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,22,,"46,497.29",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,23,,"46,661.06",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,24,,"46,825.86",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,25,,"47,101.90",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,26,,"47,269.79",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,27,,"47,438.71",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,28,,"47,607.63",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,29,,"47,778.61",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,30,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,31,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,32,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,33,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,34,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,35,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,36,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,37,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,38,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,39,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,IV,40,,"47,949.59",0.00,0.00
2023 - 2024,537 Southgate Independent,V,0,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,1,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,2,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,3,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,4,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,5,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,6,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,7,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,8,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,9,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,10,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,11,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,12,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,13,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,14,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,15,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,16,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,17,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,18,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,19,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,20,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,21,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,22,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,23,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,24,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,25,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,26,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,27,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,28,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,29,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,30,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,31,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,32,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,33,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,34,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,35,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,36,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,37,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,38,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,39,,"38,337.63",0.00,0.00
2023 - 2024,537 Southgate Independent,V,40,,"38,337.63",0.00,0.00
Fiscal Year,541 Spencer County,Rank,Years,,I,II,III
2023 - 2024,541 Spencer County,I,0,,"50,333.00",0.00,0.00
2023 - 2024,541 Spencer County,I,1,,"50,761.00",0.00,0.00
2023 - 2024,541 Spencer County,I,2,,"51,199.00",0.00,0.00
2023 - 2024,541 Spencer County,I,3,,"51,638.00",0.00,0.00
2023 - 2024,541 Spencer County,I,4,,"55,350.00",0.00,0.00
2023 - 2024,541 Spencer County,I,5,,"55,674.00",0.00,0.00
2023 - 2024,541 Spencer County,I,6,,"55,906.00",0.00,0.00
2023 - 2024,541 Spencer County,I,7,,"56,140.00",0.00,0.00
2023 - 2024,541 Spencer County,I,8,,"56,371.00",0.00,0.00
2023 - 2024,541 Spencer County,I,9,,"56,608.00",0.00,0.00
2023 - 2024,541 Spencer County,I,10,,"63,897.00",0.00,0.00
2023 - 2024,541 Spencer County,I,11,,"64,274.00",0.00,0.00
2023 - 2024,541 Spencer County,I,12,,"64,468.00",0.00,0.00
2023 - 2024,541 Spencer County,I,13,,"64,657.00",0.00,0.00
2023 - 2024,541 Spencer County,I,14,,"64,847.00",0.00,0.00
2023 - 2024,541 Spencer County,I,15,,"67,788.00",0.00,0.00
2023 - 2024,541 Spencer County,I,16,,"68,043.00",0.00,0.00
2023 - 2024,541 Spencer County,I,17,,"68,238.00",0.00,0.00
2023 - 2024,541 Spencer County,I,18,,"68,426.00",0.00,0.00
2023 - 2024,541 Spencer County,I,19,,"68,621.00",0.00,0.00
2023 - 2024,541 Spencer County,I,20,,"68,818.00",0.00,0.00
2023 - 2024,541 Spencer County,I,21,,"69,010.00",0.00,0.00
2023 - 2024,541 Spencer County,I,22,,"69,206.00",0.00,0.00
2023 - 2024,541 Spencer County,I,23,,"69,397.00",0.00,0.00
2023 - 2024,541 Spencer County,I,24,,"69,776.00",0.00,0.00
2023 - 2024,541 Spencer County,I,25,,"70,507.00",0.00,0.00
2023 - 2024,541 Spencer County,I,26,,"70,841.00",0.00,0.00
2023 - 2024,541 Spencer County,I,27,,"71,172.00",0.00,0.00
2023 - 2024,541 Spencer County,I,28,,"71,715.00",0.00,0.00
2023 - 2024,541 Spencer County,I,29,,"72,258.00",0.00,0.00
2023 - 2024,541 Spencer County,I,30,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,31,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,32,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,33,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,34,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,35,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,36,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,37,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,38,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,39,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,I,40,,"72,951.00",0.00,0.00
2023 - 2024,541 Spencer County,II,0,,"45,720.00",0.00,0.00
2023 - 2024,541 Spencer County,II,1,,"46,125.00",0.00,0.00
2023 - 2024,541 Spencer County,II,2,,"46,546.00",0.00,0.00
2023 - 2024,541 Spencer County,II,3,,"46,966.00",0.00,0.00
2023 - 2024,541 Spencer County,II,4,,"51,344.00",0.00,0.00
2023 - 2024,541 Spencer County,II,5,,"51,700.00",0.00,0.00
2023 - 2024,541 Spencer County,II,6,,"51,941.00",0.00,0.00
2023 - 2024,541 Spencer County,II,7,,"52,183.00",0.00,0.00
2023 - 2024,541 Spencer County,II,8,,"52,425.00",0.00,0.00
2023 - 2024,541 Spencer County,II,9,,"52,667.00",0.00,0.00
2023 - 2024,541 Spencer County,II,10,,"59,238.00",0.00,0.00
2023 - 2024,541 Spencer County,II,11,,"59,600.00",0.00,0.00
2023 - 2024,541 Spencer County,II,12,,"59,789.00",0.00,0.00
2023 - 2024,541 Spencer County,II,13,,"59,983.00",0.00,0.00
2023 - 2024,541 Spencer County,II,14,,"60,176.00",0.00,0.00
2023 - 2024,541 Spencer County,II,15,,"62,583.00",0.00,0.00
2023 - 2024,541 Spencer County,II,16,,"62,826.00",0.00,0.00
2023 - 2024,541 Spencer County,II,17,,"63,016.00",0.00,0.00
2023 - 2024,541 Spencer County,II,18,,"63,213.00",0.00,0.00
2023 - 2024,541 Spencer County,II,19,,"63,402.00",0.00,0.00
2023 - 2024,541 Spencer County,II,20,,"63,614.00",0.00,0.00
2023 - 2024,541 Spencer County,II,21,,"63,807.00",0.00,0.00
2023 - 2024,541 Spencer County,II,22,,"63,997.00",0.00,0.00
2023 - 2024,541 Spencer County,II,23,,"64,192.00",0.00,0.00
2023 - 2024,541 Spencer County,II,24,,"64,570.00",0.00,0.00
2023 - 2024,541 Spencer County,II,25,,"65,274.00",0.00,0.00
2023 - 2024,541 Spencer County,II,26,,"65,608.00",0.00,0.00
2023 - 2024,541 Spencer County,II,27,,"65,940.00",0.00,0.00
2023 - 2024,541 Spencer County,II,28,,"66,403.00",0.00,0.00
2023 - 2024,541 Spencer County,II,29,,"66,867.00",0.00,0.00
2023 - 2024,541 Spencer County,II,30,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,31,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,32,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,33,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,34,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,35,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,36,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,37,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,38,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,39,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,II,40,,"67,423.00",0.00,0.00
2023 - 2024,541 Spencer County,III,0,,"42,907.00",0.00,0.00
2023 - 2024,541 Spencer County,III,1,,"43,317.00",0.00,0.00
2023 - 2024,541 Spencer County,III,2,,"43,737.00",0.00,0.00
2023 - 2024,541 Spencer County,III,3,,"44,155.00",0.00,0.00
2023 - 2024,541 Spencer County,III,4,,"48,865.00",0.00,0.00
2023 - 2024,541 Spencer County,III,5,,"49,241.00",0.00,0.00
2023 - 2024,541 Spencer County,III,6,,"49,504.00",0.00,0.00
2023 - 2024,541 Spencer County,III,7,,"49,763.00",0.00,0.00
2023 - 2024,541 Spencer County,III,8,,"50,024.00",0.00,0.00
2023 - 2024,541 Spencer County,III,9,,"50,287.00",0.00,0.00
2023 - 2024,541 Spencer County,III,10,,"55,874.00",0.00,0.00
2023 - 2024,541 Spencer County,III,11,,"56,200.00",0.00,0.00
2023 - 2024,541 Spencer County,III,12,,"56,384.00",0.00,0.00
2023 - 2024,541 Spencer County,III,13,,"56,572.00",0.00,0.00
2023 - 2024,541 Spencer County,III,14,,"56,756.00",0.00,0.00
2023 - 2024,541 Spencer County,III,15,,"59,059.00",0.00,0.00
2023 - 2024,541 Spencer County,III,16,,"59,297.00",0.00,0.00
2023 - 2024,541 Spencer County,III,17,,"59,488.00",0.00,0.00
2023 - 2024,541 Spencer County,III,18,,"59,678.00",0.00,0.00
2023 - 2024,541 Spencer County,III,19,,"59,871.00",0.00,0.00
2023 - 2024,541 Spencer County,III,20,,"60,073.00",0.00,0.00
2023 - 2024,541 Spencer County,III,21,,"60,264.00",0.00,0.00
2023 - 2024,541 Spencer County,III,22,,"60,458.00",0.00,0.00
2023 - 2024,541 Spencer County,III,23,,"60,649.00",0.00,0.00
2023 - 2024,541 Spencer County,III,24,,"61,028.00",0.00,0.00
2023 - 2024,541 Spencer County,III,25,,"61,713.00",0.00,0.00
2023 - 2024,541 Spencer County,III,26,,"62,049.00",0.00,0.00
2023 - 2024,541 Spencer County,III,27,,"62,380.00",0.00,0.00
2023 - 2024,541 Spencer County,III,28,,"62,764.00",0.00,0.00
2023 - 2024,541 Spencer County,III,29,,"63,148.00",0.00,0.00
2023 - 2024,541 Spencer County,III,30,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,31,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,32,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,33,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,34,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,35,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,36,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,37,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,38,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,39,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,III,40,,"63,627.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,0,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,1,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,2,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,3,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,4,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,5,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,6,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,7,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,8,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,9,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,10,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,11,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,12,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,13,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,14,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,15,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,16,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,17,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,18,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,19,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,20,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,21,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,22,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,23,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,24,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,25,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,26,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,27,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,28,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,29,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,30,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,31,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,32,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,33,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,34,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,35,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,36,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,37,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,38,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,39,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,IV,40,,"34,437.00",0.00,0.00
2023 - 2024,541 Spencer County,V,0,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,1,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,2,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,3,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,4,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,5,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,6,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,7,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,8,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,9,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,10,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,11,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,12,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,13,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,14,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,15,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,16,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,17,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,18,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,19,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,20,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,21,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,22,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,23,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,24,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,25,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,26,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,27,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,28,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,29,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,30,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,31,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,32,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,33,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,34,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,35,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,36,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,37,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,38,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,39,,"32,139.00",0.00,0.00
2023 - 2024,541 Spencer County,V,40,,"32,139.00",0.00,0.00
Fiscal Year,545 Taylor County,Rank,Years,,I,II,III
2023 - 2024,545 Taylor County,I,0,,"47,620.00",0.00,0.00
2023 - 2024,545 Taylor County,I,1,,"47,620.00",0.00,0.00
2023 - 2024,545 Taylor County,I,2,,"47,620.00",0.00,0.00
2023 - 2024,545 Taylor County,I,3,,"47,620.00",0.00,0.00
2023 - 2024,545 Taylor County,I,4,,"51,910.00",0.00,0.00
2023 - 2024,545 Taylor County,I,5,,"51,910.00",0.00,0.00
2023 - 2024,545 Taylor County,I,6,,"51,910.00",0.00,0.00
2023 - 2024,545 Taylor County,I,7,,"51,910.00",0.00,0.00
2023 - 2024,545 Taylor County,I,8,,"51,910.00",0.00,0.00
2023 - 2024,545 Taylor County,I,9,,"51,910.00",0.00,0.00
2023 - 2024,545 Taylor County,I,10,,"57,510.00",0.00,0.00
2023 - 2024,545 Taylor County,I,11,,"57,510.00",0.00,0.00
2023 - 2024,545 Taylor County,I,12,,"57,510.00",0.00,0.00
2023 - 2024,545 Taylor County,I,13,,"57,510.00",0.00,0.00
2023 - 2024,545 Taylor County,I,14,,"57,510.00",0.00,0.00
2023 - 2024,545 Taylor County,I,15,,"59,200.00",0.00,0.00
2023 - 2024,545 Taylor County,I,16,,"59,200.00",0.00,0.00
2023 - 2024,545 Taylor County,I,17,,"59,200.00",0.00,0.00
2023 - 2024,545 Taylor County,I,18,,"59,200.00",0.00,0.00
2023 - 2024,545 Taylor County,I,19,,"59,200.00",0.00,0.00
2023 - 2024,545 Taylor County,I,20,,"60,000.00",0.00,0.00
2023 - 2024,545 Taylor County,I,21,,"60,000.00",0.00,0.00
2023 - 2024,545 Taylor County,I,22,,"60,000.00",0.00,0.00
2023 - 2024,545 Taylor County,I,23,,"60,000.00",0.00,0.00
2023 - 2024,545 Taylor County,I,24,,"60,000.00",0.00,0.00
2023 - 2024,545 Taylor County,I,25,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,26,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,27,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,28,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,29,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,30,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,31,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,32,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,33,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,34,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,35,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,36,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,37,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,38,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,39,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,I,40,,"64,600.00",0.00,0.00
2023 - 2024,545 Taylor County,II,0,,"43,240.00",0.00,0.00
2023 - 2024,545 Taylor County,II,1,,"43,240.00",0.00,0.00
2023 - 2024,545 Taylor County,II,2,,"43,240.00",0.00,0.00
2023 - 2024,545 Taylor County,II,3,,"43,240.00",0.00,0.00
2023 - 2024,545 Taylor County,II,4,,"47,340.00",0.00,0.00
2023 - 2024,545 Taylor County,II,5,,"47,340.00",0.00,0.00
2023 - 2024,545 Taylor County,II,6,,"47,340.00",0.00,0.00
2023 - 2024,545 Taylor County,II,7,,"47,340.00",0.00,0.00
2023 - 2024,545 Taylor County,II,8,,"47,340.00",0.00,0.00
2023 - 2024,545 Taylor County,II,9,,"47,340.00",0.00,0.00
2023 - 2024,545 Taylor County,II,10,,"53,080.00",0.00,0.00
2023 - 2024,545 Taylor County,II,11,,"53,080.00",0.00,0.00
2023 - 2024,545 Taylor County,II,12,,"53,080.00",0.00,0.00
2023 - 2024,545 Taylor County,II,13,,"53,080.00",0.00,0.00
2023 - 2024,545 Taylor County,II,14,,"53,080.00",0.00,0.00
2023 - 2024,545 Taylor County,II,15,,"54,800.00",0.00,0.00
2023 - 2024,545 Taylor County,II,16,,"54,800.00",0.00,0.00
2023 - 2024,545 Taylor County,II,17,,"54,800.00",0.00,0.00
2023 - 2024,545 Taylor County,II,18,,"54,800.00",0.00,0.00
2023 - 2024,545 Taylor County,II,19,,"54,800.00",0.00,0.00
2023 - 2024,545 Taylor County,II,20,,"55,610.00",0.00,0.00
2023 - 2024,545 Taylor County,II,21,,"55,610.00",0.00,0.00
2023 - 2024,545 Taylor County,II,22,,"55,610.00",0.00,0.00
2023 - 2024,545 Taylor County,II,23,,"55,610.00",0.00,0.00
