Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
331,LETCHER CO,24681.00,15.42,+,28486.00,6.46,+,30326.00,3.50,+,31387.00,1.12,-,31040.00,2.60,+,31846.00,2.89,+,32767.00,3.38,+,33873.00,1.59,+,34411.00,3.16,+,35499.00,2.01,+,36211.00,0.40,+,36357.13,2.74,+,37353.27,1.81,+,38029.45,4.51,+,39743.53,4.40,+,41494.07,4.93,+,43538.74,3.04,+,44863.39,9.83,+,49019.45,1.63,+,49819.12,0.25,-,49695.78,1.41,-,48993.31,0.12,-,48936.79,0.74,-,48574.66,0.57,-,48297.70,0.48,+,48531.73,1.84,+,49424.40,0.94,-,48962.12,0.03,+,48977.50,2.43,+,49867.62,0.54,-,49600.05,0.62,+,49906.98,1.80,+,50803.05,2.74,-,52195.48,3.07,-,53800.12,,,,,,,
335,LEWIS CO,24670.00,12.12,+,27659.00,7.92,+,29849.00,1.35,-,29450.00,0.93,+,29723.00,2.62,+,30503.00,2.22,+,31179.00,2.90,+,32083.00,0.33,-,31979.00,2.91,+,32909.00,0.40,+,33039.00,5.31,+,34792.28,3.05,+,35853.50,1.36,+,36341.43,3.55,+,37631.54,2.39,+,38532.45,2.38,+,39451.34,1.41,+,40007.88,1.92,+,44003.03,1.00,+,44444.02,2.52,+,45565.76,0.84,+,45948.49,0.02,+,45958.17,1.16,+,46491.50,0.65,-,46189.79,0.81,+,46562.64,2.41,+,47684.87,0.68,+,48009.71,0.21,-,47909.96,0.01,-,47787.56,1.09,+,48308.57,0.34,+,48472.72,0.11,-,48418.46,1.92,+,49346.76,2.53,+,50595.93,,,,,,,
341,LINCOLN CO,25203.00,9.11,+,27499.00,5.86,+,29111.00,2.80,+,29925.00,1.16,-,29583.00,1.38,+,29991.00,0.08,-,29967.00,3.03,+,30875.00,2.88,+,31765.00,3.22,+,32788.00,0.84,+,33064.00,1.12,+,33432.79,5.26,+,35192.81,2.57,+,36097.54,4.54,+,37736.01,3.83,+,39183.05,2.25,+,40063.91,2.54,+,41079.84,11.69,+,44683.95,2.41,+,45758.72,1.98,+,46665.35,1.12,-,46144.79,0.87,-,45744.72,0.64,+,46035.26,1.21,+,46591.34,1.41,+,47246.38,1.91,+,48148.44,0.41,-,47949.53,0.52,-,47698.69,8.08,+,47905.73,0.79,+,48286.06,0.65,+,48602.21,0.96,-,48138.00,3.96,+,50045.26,1.93,+,51012.23,,,,,,,
345,LIVINGSTON CO,24233.00,11.37,+,26989.00,6.65,+,28785.00,0.52,+,28936.00,0.69,+,29136.00,5.88,+,30850.00,1.13,+,31200.00,1.33,+,31616.00,0.45,+,31759.00,4.28,+,33119.00,2.98,+,34105.00,1.01,-,33761.10,4.48,+,35273.46,2.37,+,36108.00,1.25,+,36560.46,6.95,+,39100.13,4.70,+,40937.23,2.35,+,41897.26,11.78,+,45920.65,1.42,+,46573.56,0.76,+,46927.66,0.18,-,46844.70,0.73,-,46501.80,0.62,+,46787.98,0.89,+,47202.17,0.06,+,47232.80,2.60,+,48459.95,1.83,+,49344.89,3.37,+,51008.82,6.43,+,51554.44,2.74,+,52966.78,0.31,+,53128.78,2.63,+,54524.54,2.00,-,55617.34,1.62,-,56516.35,,,,,,,
351,LOGAN CO,24765.00,10.10,+,27265.00,5.95,+,28888.00,1.52,+,29328.00,1.98,+,29910.00,2.07,+,30529.00,1.81,+,31082.00,2.90,+,31983.00,1.81,+,32562.00,3.20,+,33604.00,2.58,+,34471.00,0.49,+,34639.00,2.81,+,35613.01,2.35,+,36451.60,4.31,+,38021.84,2.97,+,39152.08,4.12,+,40765.41,2.32,+,41710.67,6.42,+,44588.72,0.12,+,44643.63,2.12,+,45589.96,0.37,-,45421.33,0.23,+,45524.65,0.56,+,45780.45,0.41,+,45969.44,0.43,+,46167.54,2.88,+,47499.02,0.36,-,47329.00,0.81,+,47713.55,17.50,+,47727.69,0.69,+,48054.72,0.53,+,48310.93,0.76,-,47942.71,1.73,+,48771.95,5.02,+,51220.29,,,,,,,
354,LUDLOW,25931.00,13.39,+,29403.00,5.86,+,31126.00,1.66,+,31642.00,2.69,+,32494.00,2.13,+,33187.00,1.99,+,33849.00,3.71,+,35104.00,1.33,+,35570.00,3.24,+,36724.00,3.10,+,37862.00,2.95,+,38979.67,2.50,-,38005.60,4.96,+,39889.62,2.56,+,40910.83,6.84,+,43709.00,4.89,+,45845.12,3.44,+,47421.48,27.20,+,53056.16,1.68,-,52162.78,0.81,+,52587.54,1.90,-,51587.61,2.82,-,50134.28,2.12,+,51198.86,0.44,-,50972.56,2.84,+,52421.19,1.57,+,53244.66,4.97,+,55889.05,1.56,-,55014.63,9.03,+,56064.92,0.44,-,55819.65,4.25,+,58192.71,2.30,-,56852.02,0.85,-,57335.68,4.48,-,59905.58,,,,,,,
361,LYON CO,25110.00,11.50,+,27998.00,2.99,+,28834.00,1.40,-,28435.00,3.37,+,29394.00,0.92,+,29663.00,3.05,+,30568.00,3.82,+,31737.00,2.20,+,32434.00,1.47,+,32912.00,4.12,+,34267.00,4.93,-,32577.04,4.91,+,34177.26,3.37,+,35329.41,6.11,+,37486.94,5.17,+,39424.45,2.51,+,40413.78,1.37,+,40968.92,5.52,+,44805.59,2.22,+,45801.89,3.77,+,47527.51,2.87,-,46161.96,0.72,+,46495.72,0.63,-,46202.44,1.16,+,46740.07,2.10,+,47721.28,1.08,+,48236.87,0.14,-,48167.06,0.82,+,48561.48,3.88,+,50048.46,2.46,+,51279.81,1.48,+,52040.99,1.89,+,53023.91,3.00,+,54613.73,0.21,+,54501.23,,,,,,,
365,MADISON CO,25699.00,8.71,+,27937.00,10.32,+,30820.00,0.19,-,30761.00,2.24,+,31450.00,3.71,+,32617.00,2.44,+,33413.00,3.61,+,34618.00,3.42,+,35803.00,1.85,+,36467.00,2.62,+,37424.00,0.90,+,37760.16,1.86,+,38461.85,2.55,+,39444.19,3.46,+,40808.83,1.87,+,41570.54,2.39,+,42564.71,1.17,+,43063.72,14.31,+,46831.75,1.12,+,47358.25,2.57,+,48574.29,0.52,-,48319.59,0.04,+,48338.28,0.45,-,48121.22,0.39,+,48307.74,0.92,+,48751.12,2.54,+,49987.38,0.39,+,50181.50,0.87,+,50616.06,2.18,-,50446.82,1.06,+,50983.98,1.65,+,51824.33,2.65,+,53199.09,2.67,-,54622.08,3.75,-,56668.18,,,,,,,
371,MAGOFFIN CO,24209.00,8.65,+,26302.00,9.81,+,28881.00,4.39,+,30148.00,1.84,+,30703.00,2.22,+,31386.00,5.61,+,33148.00,3.81,+,34412.00,0.33,+,34524.00,1.26,+,34960.00,0.86,-,34661.00,1.64,+,35231.17,2.38,+,36069.50,1.99,+,36786.46,5.21,+,38701.22,3.28,+,39970.43,4.81,+,41891.97,3.29,+,43271.21,8.92,+,46904.70,2.45,+,48051.74,1.02,+,48542.99,0.32,-,48389.76,4.39,+,50512.75,0.78,-,50120.97,2.13,-,49053.66,0.87,+,49479.14,0.42,+,49688.04,0.43,-,49475.41,0.14,-,49407.53,4.86,+,49511.82,0.67,+,49842.14,0.44,-,49622.41,1.93,-,48666.48,2.26,+,49768.26,0.62,+,50076.29,,,,,,,
375,MARION CO,25208.00,10.64,+,27889.00,4.34,+,29098.00,0.64,+,29285.00,1.64,+,29764.00,3.87,+,30916.00,0.39,+,31038.00,2.60,+,31845.00,2.61,+,32676.00,4.20,+,34048.00,3.64,+,35288.00,2.91,+,36316.11,2.07,+,37066.92,2.49,+,37990.08,3.27,+,39234.16,3.73,+,40696.63,2.91,+,41882.36,3.57,+,43375.99,8.10,+,46778.29,1.92,+,47678.52,2.32,+,48784.39,0.90,-,48346.71,0.68,-,48018.69,2.06,+,49009.25,1.81,+,49896.90,0.06,-,49865.21,1.15,+,50436.43,0.95,+,50916.42,0.98,+,51417.29,3.08,+,51807.72,1.48,+,52576.00,0.84,+,53015.24,4.57,+,55436.34,1.69,+,56373.47,4.00,+,58630.32,,,,,,,
381,MARSHALL CO,26015.00,9.86,+,28579.00,5.94,+,30276.00,0.49,+,30424.00,0.72,+,30642.00,3.89,+,31833.00,0.14,-,31788.00,3.75,+,32981.00,2.58,+,33831.00,1.40,+,34303.00,3.48,+,35497.00,2.98,+,36555.97,3.64,+,37887.11,4.19,+,39474.88,4.71,+,41335.21,2.16,+,42229.96,4.05,+,43938.37,1.87,+,44762.05,10.79,+,48055.65,1.43,+,48745.06,1.48,+,49465.41,2.46,-,48249.05,0.03,+,48265.37,0.41,+,48464.88,2.45,+,49653.41,1.09,+,50193.10,3.47,+,51933.01,0.28,-,51786.87,2.42,+,53042.21,8.45,-,52999.17,2.01,+,54066.97,3.47,+,55941.30,1.99,+,57055.31,2.87,-,58694.74,0.02,-,58705.60,,,,,,,
385,MARTIN CO,23393.00,15.55,+,27030.00,10.23,+,29795.00,1.47,-,29364.00,1.64,+,29846.00,1.96,+,30432.00,1.75,+,30964.00,10.36,+,34171.00,0.71,+,34414.00,2.85,+,35396.00,1.72,+,36004.00,2.18,+,36790.07,3.57,+,38103.84,2.85,+,39190.08,3.94,+,40735.45,2.63,+,41805.05,2.41,+,42814.51,2.61,+,43933.64,6.40,+,47626.79,1.01,-,47143.62,0.41,-,46949.61,2.14,-,45946.79,1.01,+,46409.54,1.05,+,46895.01,0.01,-,46888.31,1.90,+,47779.37,1.17,-,47220.88,1.32,+,47844.70,0.84,-,47444.71,11.67,+,48560.24,0.28,+,48698.20,3.28,+,50293.37,2.47,-,49052.03,4.33,+,51175.99,0.47,+,51415.18,,,,,,,
391,MASON CO,26887.00,10.88,+,29812.00,5.85,+,31556.00,5.74,+,33367.00,5.12,+,35076.00,4.83,+,36771.00,3.57,+,38083.00,2.49,+,39031.00,1.61,+,39660.00,2.63,+,40702.00,0.23,+,40796.00,1.82,-,40055.54,2.18,+,40928.15,3.17,+,42226.94,0.89,+,42604.45,2.98,+,43872.22,1.57,+,44560.04,1.77,+,45349.94,11.95,+,49182.85,1.19,+,49766.24,2.05,+,50788.69,2.25,-,49646.33,2.14,+,50707.62,0.10,+,50760.14,0.61,+,51068.68,1.38,+,51771.96,0.65,+,52108.99,1.56,+,52920.54,0.18,-,52825.06,7.05,+,52983.24,2.62,+,54372.49,2.04,+,55482.11,0.02,+,55493.04,1.18,-,56148.56,0.26,-,56002.83,,,,,,,
392,MAYFIELD,26842.00,10.00,+,29526.00,4.73,+,30922.00,0.95,-,30632.00,0.33,+,30734.00,3.94,+,31946.00,3.20,+,32969.00,0.15,-,32921.00,3.30,+,34009.00,3.95,+,35354.00,0.76,+,35621.00,4.05,+,37064.14,1.02,+,37441.75,3.40,-,36167.41,8.91,+,39388.94,3.94,+,40939.02,3.14,+,42226.43,2.37,+,43227.47,2.26,+,46374.11,1.29,+,46970.66,0.88,+,47383.67,6.11,-,44486.91,1.25,+,45042.99,3.26,+,46512.26,1.04,+,46995.84,0.89,+,47412.30,2.50,+,48597.90,1.42,-,47908.32,1.05,+,48409.34,11.25,+,49098.77,0.16,+,49176.40,6.00,+,52129.19,0.34,+,52307.48,2.07,+,53391.66,4.69,+,55896.60,,,,,,,
395,MCCRACKEN CO,28726.00,9.88,+,31564.00,5.09,+,33171.00,0.29,+,33267.00,0.25,-,33184.00,3.91,+,34481.00,0.57,+,34676.00,2.17,+,35427.00,2.20,+,36208.00,3.51,+,37478.00,3.27,+,38702.00,4.36,+,40390.88,3.16,+,41668.73,3.59,+,43164.71,3.08,+,44494.07,2.96,+,45810.16,2.63,+,47016.58,2.21,+,48055.68,18.74,+,51330.26,1.67,+,52186.05,0.17,-,52096.82,1.91,-,51103.64,0.43,-,50882.51,0.85,-,50449.67,1.09,-,49899.16,2.08,+,50938.66,2.30,+,52107.72,0.39,+,52313.04,1.46,+,53077.89,3.90,+,53853.88,1.64,+,54734.61,2.39,+,56040.12,3.78,+,58159.48,2.47,-,59596.91,0.33,-,59398.78,,,,,,,
401,MCCREARY CO,24587.00,11.84,+,27498.00,11.12,+,30557.00,3.56,+,31646.00,2.16,+,32329.00,0.01,-,32325.00,1.74,+,32889.00,2.43,+,33688.00,0.43,+,33834.00,5.49,+,35690.00,2.95,+,36742.00,1.63,+,37341.46,2.72,+,38358.11,2.95,+,39489.61,1.93,+,40249.96,5.08,+,42293.83,5.32,+,44542.53,2.56,+,45680.69,1.87,+,48956.09,1.50,+,49691.38,2.01,+,50689.36,1.21,-,50078.42,0.71,-,49721.45,2.56,+,50993.57,2.40,-,49772.26,1.29,+,50415.00,2.05,+,51449.47,2.23,-,50300.47,1.16,+,50882.67,12.48,+,51005.24,0.06,+,51037.79,0.40,-,50831.44,1.33,-,50153.20,1.42,+,50864.85,0.12,+,50802.32,,,,,,,
405,MCLEAN CO,25028.00,11.13,+,27813.00,4.21,+,28983.00,1.78,+,29498.00,2.32,+,30182.00,2.70,+,30996.00,0.46,+,31140.00,1.62,+,31643.00,0.04,-,31630.00,2.39,+,32386.00,2.55,+,33212.00,1.17,+,33600.48,2.85,+,34556.54,4.24,+,36023.08,2.63,+,36970.49,1.48,+,37517.33,2.27,+,38369.67,1.09,+,38788.89,9.08,+,41531.39,0.68,-,41250.91,3.58,+,42726.30,1.66,-,42017.81,3.20,+,43361.11,0.63,-,43088.32,0.09,+,43125.98,0.52,+,43349.06,1.40,+,43957.31,0.28,+,44081.80,1.48,+,44736.21,16.02,-,44534.38,2.16,+,45495.11,3.96,+,47297.40,1.23,+,47879.04,5.54,+,50530.51,1.64,+,51359.13,,,,,,,
411,MEADE CO,26724.00,8.53,+,29004.00,4.19,+,30219.00,1.23,-,29852.00,2.56,+,30617.00,2.79,+,31471.00,1.29,+,31878.00,2.48,+,32669.00,3.21,+,33719.00,1.37,+,34181.00,5.32,+,36001.00,3.10,+,37116.21,4.35,+,38729.21,2.80,+,39814.99,3.67,+,41276.63,0.78,+,41597.90,2.71,+,42724.90,1.58,+,43399.04,21.98,+,47313.70,1.93,+,48225.15,1.99,+,49186.62,2.38,-,48015.84,0.54,+,48276.85,0.63,+,48582.58,1.07,+,49102.14,2.47,+,50316.83,2.85,+,51748.48,0.75,+,52136.38,0.31,-,51973.91,14.00,-,51904.66,4.15,+,54058.06,3.53,+,55965.52,0.73,-,55555.76,0.97,-,56095.74,2.03,-,57234.54,,,,,,,
415,MENIFEE CO,23055.00,9.35,+,25210.00,6.05,+,26735.00,1.43,+,27116.00,2.82,+,27882.00,3.88,+,28965.00,1.79,+,29484.00,2.57,+,30241.00,1.44,+,30677.00,4.47,+,32047.00,2.04,+,32700.00,3.22,+,33753.18,0.17,-,33695.43,3.94,+,35022.04,3.85,+,36369.76,3.09,+,37492.49,3.55,+,38822.86,3.54,+,40195.30,2.45,+,44460.69,0.88,+,44849.91,1.02,-,44393.90,1.66,+,45131.06,1.78,+,45935.51,0.75,+,46279.04,0.38,+,46456.00,0.18,+,46541.14,0.05,-,46518.55,1.88,-,45644.06,1.03,-,45175.82,15.40,-,44697.29,0.08,-,44662.91,0.91,+,45070.89,0.64,+,45360.74,4.97,+,47614.94,3.04,+,49062.50,,,,,,,
421,MERCER CO,24298.00,10.28,+,26796.00,6.71,+,28595.00,0.35,+,28696.00,1.48,+,29121.00,2.26,+,29780.00,1.95,+,30362.00,3.27,+,31356.00,1.81,+,31924.00,3.55,+,33058.00,2.58,+,33910.00,2.47,+,34746.78,4.27,+,36230.10,1.89,+,36916.43,5.28,+,38866.84,3.08,+,40062.10,2.67,+,41130.22,7.03,+,44023.48,18.69,+,47708.79,0.87,+,48125.32,0.40,+,48319.59,1.45,+,49018.45,0.57,-,48738.73,0.38,+,48923.85,0.91,+,49367.40,1.51,+,50114.21,1.92,+,51078.22,1.56,+,51875.96,0.18,+,51969.36,5.43,+,52133.88,0.53,+,52411.42,0.54,+,52693.33,0.07,-,52657.26,3.84,-,54677.61,4.78,-,57292.97,,,,,,,
425,METCALFE CO,24712.00,11.62,+,27583.00,5.89,+,29208.00,0.55,-,29048.00,4.15,+,30254.00,1.66,-,29761.00,1.63,+,30246.00,0.73,-,30028.00,0.86,+,30287.00,2.80,+,31135.00,3.22,+,32139.00,0.80,+,32397.04,3.56,+,33550.62,4.24,+,34971.63,2.66,+,35900.44,3.21,+,37054.27,3.22,+,38247.84,2.76,+,39304.59,2.07,+,43112.51,0.80,+,43458.85,0.36,-,43302.56,1.28,-,42749.92,0.33,-,42610.12,1.46,+,43231.95,6.36,+,45979.85,1.61,+,46720.09,2.95,+,48096.54,1.72,+,48925.72,0.14,+,48993.69,0.67,+,49146.13,0.95,+,49613.96,3.45,+,51325.02,0.01,+,51330.08,1.78,-,52242.19,0.22,-,52357.72,,,,,,,
426,MIDDLESBORO,26429.00,14.34,+,30218.00,10.34,+,33343.00,0.62,+,33550.00,0.29,+,33647.00,1.32,+,34091.00,4.03,+,35464.00,0.77,+,35737.00,0.43,-,35585.00,2.39,+,36437.00,2.06,+,37187.00,0.75,+,37467.13,1.92,+,38184.87,3.58,+,39552.32,2.58,+,40573.33,2.74,+,41683.46,1.42,+,42274.75,2.45,+,43311.34,20.28,+,47275.78,0.05,-,47250.24,1.42,+,47920.04,1.52,-,47189.34,1.04,+,47682.44,1.38,-,47026.69,3.64,+,48736.67,0.33,+,48895.45,0.09,-,48853.86,3.08,-,47349.10,1.94,+,48268.44,5.68,+,48665.11,0.99,-,48183.03,1.15,+,48736.12,0.57,-,48459.21,2.87,+,49848.14,3.66,+,51670.89,,,,,,,
431,MONROE CO,25117.00,9.24,+,27437.00,5.00,+,28809.00,0.76,+,29028.00,0.74,-,28815.00,2.03,+,29400.00,1.39,+,29808.00,2.38,+,30517.00,2.38,+,31243.00,3.11,+,32215.00,2.35,+,32971.00,2.63,+,33836.79,3.92,+,35163.74,3.98,+,36562.63,3.21,+,37736.55,2.85,+,38812.07,1.11,+,39244.60,1.48,+,39826.20,2.00,+,44177.36,2.39,+,45233.54,0.85,+,45616.68,2.25,-,44591.93,0.98,+,45029.07,0.52,+,45263.55,0.91,-,44849.41,2.03,+,45761.37,0.86,+,46152.80,0.33,+,46306.18,0.18,-,46220.73,5.11,-,45526.17,1.02,+,45990.71,0.60,+,46268.17,3.29,+,47790.90,4.91,+,50136.99,5.68,+,52982.30,,,,,,,
435,MONTGOMERY CO,25408.00,13.03,+,28718.00,3.90,+,29838.00,1.05,+,30152.00,1.70,+,30665.00,1.69,+,31184.00,0.48,+,31334.00,2.90,+,32242.00,4.04,+,33546.00,2.56,+,34405.00,4.81,+,36060.00,2.40,+,36925.72,1.18,+,37361.28,2.78,+,38400.80,2.27,+,39273.48,3.55,+,40666.13,2.14,+,41536.05,2.29,+,42487.96,15.97,+,46185.83,1.10,-,45678.28,2.81,+,46964.01,2.61,-,45736.24,0.60,+,46011.65,0.80,-,45643.29,0.60,+,45916.44,0.84,+,46300.81,2.73,+,47567.10,0.22,-,47461.95,1.68,+,48257.81,2.67,+,48581.65,2.52,+,49807.40,2.40,+,51003.77,0.08,+,51043.65,0.67,+,51385.99,2.12,+,52475.14,,,,,,,
436,MONTICELLO,24225.00,10.73,+,26824.00,5.77,+,28373.00,2.36,-,27718.00,5.46,+,29232.00,0.60,+,29408.00,4.23,+,30653.00,4.07,+,31900.00,1.56,+,32399.00,4.53,+,33866.00,0.51,-,33695.00,1.03,+,34041.33,2.09,+,34752.36,1.85,-,34110.99,5.47,+,35977.55,5.39,+,37916.88,3.92,+,39401.36,1.72,+,40079.89,2.28,+,43455.02,5.81,+,45980.12,2.95,+,47334.94,2.21,-,46288.39,1.52,-,45584.83,0.59,+,45853.47,Merged with Wayne County,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,
441,MORGAN CO,25576.00,8.97,+,27870.00,7.75,+,30031.00,3.16,-,29111.00,1.00,+,29402.00,1.61,+,29874.00,0.25,+,29949.00,4.50,+,31297.00,1.19,-,30928.00,3.47,+,32001.00,2.49,+,32799.00,0.51,+,32964.86,4.17,+,34339.78,0.23,+,34420.18,4.89,+,36102.37,4.30,+,37655.47,3.15,+,38840.60,4.15,+,40451.21,10.45,+,44267.70,1.61,+,44980.35,2.19,+,45964.63,0.22,-,45862.96,2.05,+,46802.25,1.62,+,47561.60,0.97,+,48024.21,0.18,-,47936.01,2.47,+,49118.39,1.00,+,49610.31,0.49,-,49366.29,5.13,+,49548.37,1.18,+,50135.38,0.14,+,50206.47,1.26,-,49572.83,3.20,+,51158.12,1.84,+,52100.16,,,,,,,
445,MUHLENBERG CO,26908.00,11.29,+,29947.00,4.98,+,31438.00,0.61,+,31629.00,1.23,+,32018.00,2.46,+,32807.00,1.69,+,33362.00,3.66,+,34583.00,1.72,+,35178.00,2.14,+,35932.00,2.04,+,36666.00,1.91,+,37367.47,1.26,+,37838.07,3.60,+,39198.40,3.06,+,40396.28,3.23,+,41702.89,5.09,+,43826.23,1.23,+,44365.87,18.99,+,48134.31,1.52,+,48868.13,1.67,+,49685.97,2.01,-,48687.64,1.12,+,49233.47,0.07,+,49269.09,1.66,+,50086.72,2.14,+,51158.28,7.84,-,47147.23,0.78,+,47513.97,6.85,+,50767.68,0.50,+,52198.54,1.79,+,53131.38,1.39,+,53868.21,0.10,+,53923.13,0.23,-,54048.06,1.81,+,55028.02,,,,,,,
446,MURRAY,26380.00,10.99,+,29280.00,6.68,+,31236.00,0.26,+,31317.00,0.74,+,31549.00,2.97,+,32487.00,1.61,-,31973.00,2.54,+,32784.00,0.84,+,33058.00,0.78,+,33315.00,2.67,+,34205.00,1.42,+,34689.52,3.23,+,35811.71,3.10,+,36922.45,1.37,+,37427.88,3.15,+,38607.26,1.78,+,39292.87,2.56,+,40299.16,0.37,+,44530.57,0.40,+,44709.87,3.96,+,46480.41,0.04,-,46462.96,0.91,+,46885.66,2.25,+,47938.47,1.26,+,48544.12,0.30,+,48690.51,3.11,+,50203.82,0.86,+,50633.25,0.01,-,50625.89,1.91,+,51899.35,0.52,+,52170.79,2.36,+,53402.72,0.61,+,53729.34,2.18,+,54899.42,2.82,+,56445.64,,,,,,,
451,NELSON CO,25519.00,11.05,+,28338.00,5.27,+,29831.00,2.01,+,30431.00,1.72,+,30954.00,0.51,+,31112.00,3.05,+,32060.00,3.65,+,33231.00,0.59,-,33035.00,2.33,+,33805.00,4.50,+,35327.00,2.97,+,36376.87,3.09,+,37501.42,3.40,+,38777.95,3.60,+,40175.04,3.35,+,41522.62,5.66,+,43874.54,1.42,+,44496.93,22.27,+,49272.13,1.59,+,50057.30,1.48,+,50796.70,1.13,-,50220.57,1.31,+,50879.36,0.14,-,50807.51,0.53,-,50536.13,0.01,-,50531.95,1.07,+,51072.77,0.78,-,50675.48,1.06,+,51214.12,6.81,-,51022.61,1.10,-,50462.23,0.70,-,50106.57,0.10,+,50158.14,6.22,+,53280.26,4.89,-,55886.53,,,,,,,
452,NEWPORT,26258.00,10.81,+,29097.00,4.68,+,30460.00,1.73,+,30986.00,3.10,+,31946.00,1.93,+,32561.00,1.94,+,33192.00,5.50,+,35017.00,1.80,+,35649.00,3.53,+,36909.00,2.49,+,37828.00,4.39,+,39486.97,3.40,+,40831.40,0.82,+,41167.44,6.35,+,43780.88,2.36,+,44812.94,4.67,+,46907.11,2.98,+,48306.86,18.14,+,52570.56,0.61,+,52892.70,0.42,-,52668.49,4.37,-,50366.58,1.26,-,49731.87,1.21,+,50332.44,4.03,-,48305.12,1.09,-,47776.53,0.20,+,47872.31,0.19,+,47963.98,1.69,+,48775.90,2.09,+,49659.01,4.32,+,51805.42,2.18,+,52935.62,0.49,+,53194.97,7.19,-,57021.06,3.66,-,59107.61,,,,,,,
455,NICHOLAS CO,25684.00,6.92,+,27462.00,5.97,+,29101.00,2.00,+,29683.00,2.39,+,30393.00,5.52,+,32072.00,0.80,+,32328.00,0.52,-,32161.00,4.17,+,33502.00,0.08,+,33529.00,3.78,+,34795.00,1.21,+,35214.94,2.95,+,36254.55,2.49,+,37155.64,2.96,+,38256.94,2.30,+,39135.54,1.23,+,39618.12,1.03,+,40025.56,10.65,+,43160.42,1.74,-,42411.57,3.21,+,43770.94,1.78,-,42990.80,0.15,+,43057.23,1.77,+,43821.05,1.88,+,44646.81,2.25,+,45651.95,1.40,+,46290.76,0.24,+,46403.90,2.08,+,47370.18,9.21,+,47724.39,1.96,-,46790.55,2.30,+,47868.20,0.81,-,47479.76,6.78,+,50698.64,3.72,+,48812.05,,,,,,,
461,OHIO CO,25072.00,8.93,+,27312.00,7.25,+,29292.00,0.33,+,29388.00,0.54,+,29548.00,4.77,+,30958.00,1.78,+,31509.00,1.97,+,32131.00,1.85,+,32727.00,2.12,+,33420.00,1.32,+,33860.00,1.40,+,34334.02,4.59,+,35909.85,4.04,+,37360.34,5.45,+,39395.74,3.45,+,40752.96,2.69,+,41851.24,3.36,+,43257.76,15.06,+,46054.94,1.07,+,46548.45,1.05,+,47035.70,1.37,-,46392.40,0.31,+,46534.74,1.69,+,47321.89,1.28,+,47928.68,0.05,+,47953.68,1.72,+,48777.93,0.68,+,49110.26,0.65,-,48790.08,5.65,+,49796.46,0.30,+,49943.89,1.98,+,50934.50,0.72,-,50568.47,2.97,-,52069.11,3.33,-,53805.36,,,,,,,
465,OLDHAM CO,25952.00,11.03,+,28815.00,5.26,+,30330.00,2.32,+,31034.00,1.00,+,31344.00,3.33,+,32389.00,1.58,+,32900.00,3.08,+,33913.00,3.57,+,35123.00,1.38,+,35608.00,3.11,+,36717.00,0.19,+,36787.68,4.63,+,38492.23,1.91,+,39227.81,1.50,+,39817.05,3.06,+,41037.29,0.93,+,41420.81,3.32,+,42795.15,5.89,+,45807.67,1.65,+,46564.63,3.27,+,48086.97,0.05,+,48111.43,1.42,+,48796.45,0.83,+,49203.75,0.62,+,49506.67,1.57,+,50285.80,2.73,+,51660.87,0.72,-,51287.33,0.91,+,51752.06,2.33,-,51731.14,0.28,-,51588.26,0.45,-,51354.88,0.90,+,51816.56,1.80,+,52746.79,0.86,+,53200.72,,,,,,,
471,OWEN CO,23121.00,10.41,+,25527.00,8.02,+,27574.00,8.79,+,29997.00,6.07,+,31819.00,0.98,-,31509.00,0.88,+,31786.00,2.12,+,32459.00,0.05,-,32443.00,5.26,+,34150.00,1.15,+,34542.00,4.67,+,36154.29,4.96,+,37948.35,3.49,+,39272.61,2.59,+,40291.32,3.29,+,41615.65,2.42,+,42621.46,0.55,+,42854.60,9.04,+,46663.68,2.07,+,47630.90,1.92,+,48543.78,0.14,-,48475.87,1.68,-,47662.03,0.84,-,47262.47,0.07,+,47296.02,0.03,-,47283.64,1.02,-,46802.64,0.93,-,46365.75,0.14,-,46300.05,7.92,-,46031.90,1.75,+,46838.70,0.85,+,47238.86,4.33,+,49283.18,1.27,+,49911.09,0.42,+,50120.56,,,,,,,
